	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d	Set 1.c3d
9	71.86	112.05	22.08	16.28	57.04	28.22	-3.32	100.64	1.42	-159.77	72.30	75.24	62.47
10	71.81	112.07	23.32	15.63	56.32	27.53	-3.87	97.86	1.52	-102.41	73.18	83.59	60.02
11	71.78	112.02	24.00	14.97	55.53	26.79	-4.39	94.02	1.94	-43.86	73.38	91.49	58.19
12	71.76	111.88	24.15	14.31	54.65	26.03	-4.88	88.77	2.72	6.58	73.68	99.37	57.03
13	71.76	111.66	23.89	13.64	53.69	25.22	-5.37	82.25	3.77	43.95	74.42	107.45	56.47
14	71.79	111.36	23.36	12.96	52.64	24.36	-5.84	75.02	4.91	68.31	75.62	115.89	56.33
15	71.83	111.01	22.65	12.27	51.51	23.43	-6.32	67.96	6.00	83.30	77.16	124.64	56.31
16	71.90	110.60	21.84	11.57	50.29	22.39	-6.79	61.85	6.95	93.17	78.97	133.35	56.15
17	72.00	110.15	20.95	10.84	48.98	21.23	-7.25	56.92	7.69	100.11	80.95	141.65	55.87
18	72.13	109.67	20.02	10.10	47.60	19.96	-7.72	52.87	8.17	103.64	83.09	149.42	55.46
19	72.27	109.16	19.07	9.34	46.16	18.58	-8.18	49.14	8.27	102.47	85.62	156.88	54.90
20	72.43	108.62	18.16	8.56	44.64	17.10	-8.63	45.19	7.86	96.52	88.71	164.41	54.25
21	72.58	108.07	17.33	7.75	43.06	15.53	-9.07	40.68	6.87	86.75	92.17	172.36	53.66
22	72.71	107.49	16.59	6.91	41.40	13.87	-9.50	35.56	5.22	74.95	95.55	180.66	53.19
23	72.81	106.89	15.96	6.04	39.68	12.08	-9.93	29.99	2.85	64.17	98.27	188.78	52.94
24	72.88	106.24	15.42	5.16	37.88	10.18	-10.35	24.31	-0.19	56.03	99.58	195.82	52.93
25	72.91	105.55	14.94	4.27	36.03	8.14	-10.76	19.21	-3.88	49.01	98.77	200.92	52.78
26	72.92	104.78	14.53	3.39	34.14	5.99	-11.17	15.71	-8.24	40.69	95.64	203.52	51.91
27	72.91	103.90	14.20	2.56	32.25	3.75	-11.57	14.88	-13.31	29.41	90.60	203.44	49.85
28	72.91	102.87	13.99	1.78	30.37	1.43	-11.94	17.58	-19.04	15.21	84.24	200.89	46.42
29	72.93	101.65	13.92	1.05	28.53	-0.92	-12.28	24.38	-25.13	-0.19	77.00	196.20	41.66
30	73.01	100.17	13.99	0.39	26.76	-3.28	-12.58	35.53	-30.93	-14.28	69.38	189.82	35.95
31	73.16	98.39	14.18	-0.19	25.05	-5.63	-12.82	50.88	-35.35	-23.30	61.92	182.32	29.80
32	73.43	96.24	14.40	-0.72	23.42	-7.93	-13.02	69.92	-36.82	-22.34	54.49	174.32	23.70
33	73.83	93.67	14.56	-1.17	21.88	-10.16	-13.17	91.65	-33.49	-7.97	46.85	166.44	18.17
34	74.39	90.64	14.52	-1.56	20.41	-12.32	-13.28	114.59	-23.76	19.45	39.80	159.35	13.90
35	75.13	87.12	14.19	-1.89	19.00	-14.40	-13.36	137.15	-6.61	56.66	34.51	153.52	11.52
36	76.04	83.10	13.49	-2.18	17.65	-16.40	-13.43	158.06	18.54	98.59	31.15	148.96	11.36
37	77.11	78.55	12.41	-2.45	16.35	-18.34	-13.50	176.56	51.88	138.21	29.31	145.23	13.22
38	78.34	73.49	11.02	-2.71	15.07	-20.22	-13.60	192.34	92.89	167.59	28.69	141.69	16.55
39	79.70	67.94	9.44	-2.97	13.83	-22.04	-13.72	205.15	139.96	179.86	28.90	137.62	20.83
40	81.16	61.97	7.85	-3.23	12.63	-23.77	-13.87	214.71	190.03	171.07	29.40	132.46	25.65
41	82.71	55.69	6.42	-3.50	11.49	-25.40	-14.05	220.64	239.08	142.58	29.66	125.88	30.68
42	84.31	49.21	5.32	-3.77	10.41	-26.92	-14.26	222.39	282.52	102.02	29.41	117.85	35.68
43	85.94	42.73	4.60	-4.03	9.40	-28.31	-14.50	219.65	315.95	60.49	28.56	108.51	40.26
44	87.57	36.40	4.22	-4.28	8.49	-29.55	-14.76	212.76	336.02	28.59	26.90	98.12	43.44
45	89.17	30.40	4.06	-4.51	7.67	-30.65	-15.04	202.40	340.94	14.89	24.35	86.94	44.04
46	90.71	24.91	3.91	-4.71	6.94	-31.58	-15.31	188.70	330.37	24.92	20.88	75.25	42.31
47	92.15	20.04	3.55	-4.88	6.33	-32.34	-15.58	171.75	306.64	57.72	16.46	63.24	40.15
48	93.44	15.85	2.80	-5.01	5.82	-32.91	-15.85	152.80	275.08	107.97	11.43	51.07	38.78
49	94.56	12.32	1.48	-5.08	5.41	-33.28	-16.13	134.14	241.33	170.06	6.51	38.92	37.17
50	95.49	9.40	-0.50	-5.12	5.12	-33.48	-16.40	118.91	209.52	235.80	2.71	27.04	31.84
51	96.24	6.96	-3.14	-5.13	4.93	-33.50	-16.60	109.45	182.20	296.20	0.82	15.84	20.21
52	96.86	4.89	-6.36	-5.14	4.84	-33.35	-16.69	103.64	160.76	345.80	1.01	5.85	5.79
53	97.38	3.07	-9.98	-5.15	4.82	-33.07	-16.65	97.22	144.23	373.61	2.80	-2.46	-7.16
54	97.85	1.45	-13.70	-5.19	4.88	-32.66	-16.52	86.70	131.03	369.29	5.16	-8.75	-14.74
55	98.28	-0.03	-17.19	-5.24	4.97	-32.15	-16.36	69.19	122.54	337.95	7.04	-12.82	-10.93
56	98.65	-1.41	-20.24	-5.31	5.09	-31.55	-16.27	44.42	115.63	286.42	8.40	-14.58	3.06
57	98.89	-2.65	-22.68	-5.39	5.22	-30.88	-16.32	16.68	102.04	217.90	10.24	-14.10	18.25
58	98.94	-3.67	-24.39	-5.49	5.33	-30.16	-16.47	-5.95	80.96	140.11	13.23	-11.68	25.80
59	98.84	-4.42	-25.34	-5.63	5.41	-29.41	-16.63	-17.52	57.97	62.44	16.99	-7.88	21.43
60	98.66	-4.91	-25.58	-5.80	5.45	-28.65	-16.72	-18.14	37.32	-9.83	20.72	-3.36	6.92
61	98.47	-5.19	-25.16	-6.00	5.46	-27.89	-16.66	-10.25	20.94	-76.99	23.50	1.15	-15.34
62	98.35	-5.31	-24.11	-6.22	5.42	-27.13	-16.40	3.86	9.33	-138.93	24.40	5.09	-43.42
63	98.33	-5.33	-22.50	-6.43	5.35	-26.37	-15.92	19.15	2.10	-189.18	23.19	8.25	-68.15
64	98.44	-5.29	-20.46	-6.63	5.25	-25.62	-15.29	29.18	-1.80	-219.52	20.36	10.72	-77.73
65	98.66	-5.22	-18.20	-6.80	5.12	-24.89	-14.66	30.91	-3.47	-226.82	16.65	12.87	-69.18
66	98.93	-5.15	-15.94	-6.93	4.97	-24.20	-14.17	25.94	-3.74	-212.99	12.85	15.16	-48.87
67	99.21	-5.10	-13.88	-7.03	4.80	-23.58	-13.88	17.37	-3.26	-181.99	9.43	18.00	-24.49
68	99.46	-5.05	-12.20	-7.10	4.60	-23.06	-13.78	8.17	-2.45	-139.92	6.50	21.54	-2.09
69	99.69	-5.03	-10.97	-7.15	4.36	-22.68	-13.85	1.20	-1.61	-100.96	3.97	25.56	13.12
70	99.90	-5.02	-10.06	-7.18	4.09	-22.45	-14.01	-0.66	-0.89	-85.09	1.72	29.54	16.35
71	100.13	-5.01	-9.14	-7.19	3.79	-22.35	-14.13	4.95	-0.33	-102.47	-0.29	32.89	4.60
72	100.38	-5.02	-7.89	-7.18	3.47	-22.38	-14.10	17.98	0.05	-143.19	-2.15	35.09	-20.04
73	100.70	-5.02	-6.20	-7.15	3.14	-22.52	-13.82	34.78	0.25	-180.64	-4.17	35.84	-49.18
74	101.09	-5.03	-4.21	-7.11	2.82	-22.72	-13.31	52.18	0.26	-195.22	-6.55	35.11	-76.64
75	101.60	-5.03	-2.22	-7.04	2.51	-22.98	-12.58	66.05	0.14	-176.86	-9.24	33.10	-96.55
76	102.19	-5.02	-0.61	-6.94	2.23	-23.26	-11.74	71.53	0.03	-126.25	-12.01	30.20	-102.45
77	102.82	-5.02	0.37	-6.82	1.98	-23.56	-10.91	68.81	-0.04	-65.21	-14.58	26.90	-95.36
78	103.43	-5.01	0.77	-6.68	1.75	-23.88	-10.18	61.12	-0.06	-18.29	-16.73	23.51	-80.59
79	103.97	-5.01	0.79	-6.52	1.56	-24.20	-9.58	51.87	-0.05	5.13	-18.46	20.16	-63.67
80	104.44	-5.00	0.69	-6.35	1.40	-24.52	-9.12	43.41	-0.04	9.61	-19.80	16.90	-48.65
81	104.84	-5.00	0.61	-6.17	1.26	-24.85	-8.77	36.72	-0.03	3.19	-20.82	13.68	-37.41
82	105.19	-5.00	0.63	-5.98	1.15	-25.17	-8.50	31.65	-0.02	-8.24	-21.55	10.43	-30.25
83	105.48	-5.00	0.78	-5.78	1.06	-25.48	-8.26	26.99	-0.03	-18.62	-21.81	7.14	-25.10
84	105.71	-5.00	1.01	-5.59	1.01	-25.77	-8.08	21.71	-0.05	-20.80	-21.67	3.84	-19.36
85	105.87	-5.00	1.20	-5.39	0.98	-26.02	-7.95	16.53	-0.07	-9.62	-21.24	0.79	-13.11
86	105.98	-5.00	1.19	-5.20	0.98	-26.22	-7.87	12.67	-0.10	12.29	-20.38	-1.64	-7.85
87	106.05	-5.00	0.94	-5.03	1.00	-26.38	-7.82	10.78	-0.14	33.35	-19.05	-3.10	-5.91
88	106.10	-5.00	0.51	-4.86	1.02	-26.50	-7.77	10.77	-0.17	43.91	-17.50	-3.50	-7.79
89	106.14	-5.00	0.04	-4.71	1.05	-26.59	-7.69	11.88	-0.19	42.25	-16.36	-3.06	-11.35
90	106.19	-4.99	-0.36	-4.57	1.07	-26.64	-7.58	13.42	-0.17	32.73	-16.13	-2.10	-16.18
91	106.25	-4.99	-0.65	-4.42	1.08	-26.63	-7.42	14.58	-0.08	23.03	-16.12	-0.88	-21.99
92	106.30	-5.00	-0.85	-4.28	1.08	-26.53	-7.21	14.13	0.11	19.18	-15.02	0.38	-25.97
93	106.33	-5.00	-1.05	-4.15	1.06	-26.33	-6.98	10.97	0.43	21.02	-12.34	1.47	-25.38
94	106.29	-5.02	-1.29	-4.06	1.04	-26.00	-6.78	4.47	0.91	22.80	-8.93	2.20	-19.97
95	106.12	-5.05	-1.51	-3.99	1.01	-25.55	-6.63	-5.32	1.54	18.01	-5.86	2.47	-12.19
96	105.77	-5.10	-1.64	-3.95	0.98	-24.97	-6.57	-16.94	2.30	5.09	-3.41	2.33	-6.13
97	105.20	-5.16	-1.61	-3.93	0.94	-24.27	-6.55	-27.52	3.10	-10.34	-1.67	1.95	-5.43
98	104.43	-5.23	-1.45	-3.92	0.92	-23.46	-6.52	-35.48	3.72	-19.12	-0.89	1.44	-8.45
99	103.48	-5.30	-1.26	-3.91	0.89	-22.53	-6.49	-40.89	3.80	-12.79	-1.16	0.86	-10.13
100	102.41	-5.36	-1.22	-3.90	0.87	-21.47	-6.45	-43.53	2.81	13.03	-2.24	0.20	-9.19
101	101.25	-5.37	-1.53	-3.87	0.86	-20.30	-6.44	-42.74	0.13	56.11	-3.56	-0.45	-7.98
