	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d	Set 4.c3d
9	71.50	109.90	27.62	23.51	68.79	29.84	-0.10	102.51	-0.00	9.01	43.93	28.94	85.39
10	71.43	109.96	27.63	23.28	68.63	29.63	-0.57	102.52	0.15	-18.36	45.81	34.36	84.45
11	71.36	109.98	27.84	23.03	68.43	29.42	-1.03	101.76	0.24	-50.86	48.21	40.01	83.62
12	71.29	109.99	28.27	22.77	68.20	29.20	-1.48	100.11	0.25	-83.03	51.10	45.89	82.87
13	71.21	109.99	28.88	22.50	67.93	28.98	-1.92	97.56	0.19	-109.16	54.32	51.91	82.15
14	71.13	109.98	29.64	22.20	67.62	28.75	-2.36	94.25	0.07	-124.57	57.66	57.98	81.34
15	71.04	109.98	30.45	21.88	67.28	28.51	-2.79	90.41	-0.10	-126.61	60.93	63.93	80.39
16	70.93	110.00	31.23	21.55	66.90	28.25	-3.21	86.34	-0.30	-115.10	63.92	69.64	79.24
17	70.81	110.02	31.89	21.20	66.49	27.97	-3.62	82.33	-0.46	-92.02	66.50	74.96	77.90
18	70.69	110.05	32.37	20.84	66.05	27.67	-4.02	78.66	-0.54	-60.83	68.54	79.82	76.39
19	70.56	110.09	32.64	20.47	65.59	27.35	-4.41	75.57	-0.47	-25.57	69.95	84.18	74.74
20	70.42	110.13	32.69	20.09	65.11	27.00	-4.78	73.14	-0.21	9.84	70.75	88.08	73.04
21	70.30	110.16	32.52	19.71	64.61	26.62	-5.15	71.32	0.27	42.26	71.02	91.61	71.40
22	70.18	110.18	32.19	19.33	64.10	26.21	-5.51	69.96	0.99	69.68	70.90	94.93	69.96
23	70.08	110.18	31.72	18.95	63.57	25.79	-5.85	68.81	1.94	91.43	70.55	98.19	68.85
24	70.00	110.17	31.15	18.57	63.03	25.35	-6.19	67.69	3.09	108.06	70.09	101.57	68.13
25	69.94	110.12	30.52	18.20	62.47	24.89	-6.53	66.42	4.38	120.87	69.64	105.21	67.80
26	69.91	110.05	29.84	17.82	61.89	24.42	-6.86	64.91	5.75	131.29	69.36	109.28	67.82
27	69.90	109.94	29.11	17.45	61.29	23.95	-7.20	63.16	7.14	140.47	69.39	113.88	68.07
28	69.92	109.81	28.35	17.08	60.67	23.47	-7.53	61.21	8.48	149.09	69.90	119.11	68.39
29	69.96	109.65	27.54	16.70	60.00	23.00	-7.86	59.20	9.70	157.50	70.97	125.04	68.55
30	70.01	109.46	26.69	16.31	59.31	22.52	-8.20	57.27	10.77	165.68	72.67	131.64	68.32
31	70.09	109.25	25.80	15.91	58.57	22.05	-8.53	55.57	11.68	173.23	75.05	138.83	67.47
32	70.18	109.02	24.86	15.50	57.78	21.57	-8.85	54.19	12.43	179.43	78.13	146.46	65.85
33	70.28	108.76	23.89	15.07	56.95	21.08	-9.16	53.13	13.02	183.34	81.94	154.42	63.40
34	70.40	108.49	22.91	14.62	56.06	20.60	-9.46	52.29	13.44	184.02	86.37	162.56	60.19
35	70.52	108.20	21.93	14.15	55.13	20.10	-9.73	51.50	13.68	180.79	91.27	170.73	56.37
36	70.65	107.89	20.98	13.64	54.14	19.59	-9.99	50.55	13.71	173.46	96.40	178.82	52.24
37	70.79	107.56	20.07	13.11	53.11	19.08	-10.23	49.23	13.50	162.42	101.47	186.68	48.13
38	70.92	107.22	19.24	12.55	52.02	18.55	-10.45	47.37	13.06	148.56	106.21	194.19	44.37
39	71.07	106.86	18.49	11.97	50.90	18.01	-10.65	44.87	12.36	132.98	110.33	201.22	41.20
40	71.21	106.48	17.83	11.37	49.74	17.44	-10.84	41.75	11.41	116.77	113.58	207.64	38.78
41	71.35	106.09	17.25	10.75	48.54	16.85	-11.02	38.10	10.21	100.88	115.72	213.32	37.16
42	71.50	105.69	16.76	10.13	47.31	16.22	-11.20	34.07	8.77	86.02	116.56	218.14	36.32
43	71.64	105.29	16.34	9.50	46.07	15.54	-11.37	29.87	7.12	72.59	116.05	222.01	36.18
44	71.78	104.88	15.99	8.88	44.80	14.83	-11.54	25.71	5.26	60.71	114.25	224.86	36.60
45	71.92	104.46	15.69	8.27	43.53	14.06	-11.71	21.81	3.23	50.17	111.34	226.69	37.43
46	72.06	104.04	15.45	7.68	42.25	13.23	-11.89	18.34	1.06	40.49	107.58	227.55	38.50
47	72.19	103.62	15.26	7.12	40.97	12.35	-12.07	15.44	-1.24	31.12	103.24	227.54	39.66
48	72.32	103.19	15.12	6.58	39.70	11.41	-12.26	13.22	-3.65	21.58	98.56	226.76	40.75
49	72.44	102.76	15.03	6.06	38.45	10.41	-12.45	11.75	-6.17	11.50	93.74	225.35	41.64
50	72.55	102.32	14.99	5.57	37.20	9.35	-12.65	11.06	-8.83	0.74	88.87	223.42	42.24
51	72.67	101.87	15.02	5.11	35.97	8.23	-12.84	11.20	-11.66	-10.41	83.97	221.08	42.45
52	72.77	101.41	15.11	4.67	34.76	7.06	-13.03	12.21	-14.69	-21.19	79.09	218.41	42.23
53	72.88	100.93	15.26	4.26	33.57	5.83	-13.23	14.10	-17.94	-30.49	74.30	215.47	41.59
54	72.99	100.41	15.45	3.87	32.40	4.55	-13.42	16.84	-21.37	-37.23	69.74	212.29	40.59
55	73.10	99.86	15.67	3.51	31.25	3.23	-13.60	20.39	-24.89	-40.72	65.52	208.89	39.30
56	73.23	99.24	15.90	3.16	30.12	1.87	-13.77	24.72	-28.37	-40.85	61.67	205.23	37.81
57	73.36	98.56	16.12	2.84	29.02	0.48	-13.94	29.84	-31.61	-37.92	58.13	201.27	36.19
58	73.51	97.80	16.32	2.54	27.94	-0.93	-14.10	35.78	-34.36	-32.22	54.79	196.96	34.50
59	73.68	96.94	16.48	2.25	26.88	-2.36	-14.25	42.56	-36.31	-23.87	51.59	192.34	32.76
60	73.88	95.96	16.58	1.98	25.85	-3.79	-14.39	50.21	-37.04	-13.01	48.57	187.49	31.00
61	74.10	94.87	16.62	1.73	24.84	-5.22	-14.53	58.73	-36.08	-0.01	45.78	182.52	29.23
62	74.36	93.64	16.58	1.49	23.86	-6.64	-14.65	68.08	-32.89	14.40	43.28	177.59	27.45
63	74.66	92.26	16.46	1.26	22.91	-8.06	-14.76	78.15	-26.95	29.29	41.05	172.85	25.65
64	75.00	90.74	16.26	1.05	21.98	-9.45	-14.87	88.86	-17.75	43.73	39.06	168.41	23.81
65	75.39	89.06	15.98	0.85	21.08	-10.84	-14.96	100.08	-4.86	56.99	37.27	164.36	21.94
66	75.84	87.21	15.63	0.65	20.20	-12.20	-15.05	111.69	12.07	68.63	35.64	160.75	20.09
67	76.34	85.20	15.23	0.46	19.33	-13.55	-15.13	123.53	33.36	78.22	34.17	157.56	18.36
68	76.90	83.01	14.78	0.29	18.49	-14.89	-15.21	135.43	59.14	85.23	32.82	154.74	16.96
69	77.52	80.64	14.30	0.11	17.66	-16.20	-15.27	147.15	89.34	89.01	31.62	152.21	16.10
70	78.20	78.07	13.82	-0.05	16.85	-17.49	-15.34	158.46	123.56	89.15	30.57	149.84	16.02
71	78.94	75.30	13.34	-0.21	16.05	-18.76	-15.40	169.07	161.08	85.57	29.69	147.48	16.96
72	79.73	72.31	12.89	-0.37	15.27	-20.00	-15.47	178.74	200.83	78.58	28.92	144.99	19.08
73	80.58	69.10	12.49	-0.52	14.50	-21.21	-15.55	187.22	241.33	68.82	28.18	142.22	22.50
74	81.46	65.68	12.15	-0.67	13.76	-22.38	-15.65	194.31	280.83	57.22	27.31	139.06	27.23
75	82.37	62.06	11.88	-0.81	13.03	-23.51	-15.77	199.89	317.35	44.97	26.17	135.40	33.19
76	83.30	58.27	11.67	-0.95	12.33	-24.60	-15.91	203.93	348.99	33.41	24.61	131.22	40.25
77	84.24	54.36	11.53	-1.07	11.66	-25.64	-16.09	206.50	374.11	23.86	22.60	126.52	48.15
78	85.17	50.38	11.43	-1.19	11.02	-26.64	-16.31	207.87	391.56	17.31	20.18	121.35	56.52
79	86.06	46.37	11.36	-1.29	10.41	-27.59	-16.56	208.44	400.86	14.14	17.51	115.81	64.88
80	86.92	42.38	11.30	-1.38	9.83	-28.50	-16.86	208.75	402.14	14.06	14.78	110.04	72.65
81	87.71	38.44	11.23	-1.45	9.28	-29.35	-17.19	209.38	396.01	16.23	12.20	104.16	79.19
82	88.43	34.57	11.15	-1.51	8.76	-30.15	-17.54	210.84	383.36	19.59	9.91	98.29	83.77
83	89.07	30.75	11.05	-1.55	8.27	-30.91	-17.92	213.46	365.18	23.26	7.99	92.46	85.76
84	89.62	27.00	10.92	-1.59	7.81	-31.61	-18.30	217.06	342.49	26.89	6.45	86.70	84.83
85	90.08	23.29	10.78	-1.62	7.38	-32.26	-18.67	220.92	316.32	30.92	5.29	80.98	81.00
86	90.48	19.61	10.60	-1.65	6.97	-32.85	-19.02	223.81	287.68	36.60	4.50	75.29	74.57
87	90.83	15.96	10.39	-1.67	6.60	-33.39	-19.34	224.17	257.56	45.71	4.06	69.57	65.85
88	91.17	12.38	10.10	-1.69	6.26	-33.86	-19.62	220.46	226.83	60.08	3.92	63.78	55.06
89	91.53	8.94	9.71	-1.71	5.94	-34.27	-19.84	211.50	196.29	81.24	4.00	57.88	42.42
90	91.95	5.75	9.18	-1.73	5.66	-34.61	-20.00	196.97	166.74	110.19	4.13	51.85	28.37
91	92.44	2.93	8.43	-1.76	5.41	-34.88	-20.09	177.69	139.02	147.35	4.10	45.69	13.53
92	92.98	0.54	7.44	-1.78	5.19	-35.08	-20.11	155.55	113.88	192.46	3.67	39.43	-1.45
93	93.55	-1.36	6.14	-1.80	5.01	-35.21	-20.06	132.98	91.69	244.24	2.79	33.13	-16.27
94	94.11	-2.83	4.50	-1.81	4.86	-35.25	-19.94	112.06	72.28	300.02	1.59	26.90	-30.61
95	94.63	-3.91	2.49	-1.81	4.74	-35.22	-19.75	93.93	55.24	355.67	0.29	20.88	-43.74
96	95.12	-4.68	0.15	-1.81	4.66	-35.12	-19.49	78.69	40.15	406.16	-0.90	15.21	-54.49
97	95.55	-5.22	-2.48	-1.80	4.60	-34.93	-19.19	65.84	26.73	446.42	-1.86	10.05	-61.85
98	95.93	-5.58	-5.33	-1.79	4.57	-34.68	-18.86	54.75	14.92	472.20	-2.57	5.52	-65.49
99	96.26	-5.80	-8.27	-1.77	4.56	-34.35	-18.52	44.90	4.81	480.99	-2.98	1.72	-65.62
100	96.53	-5.92	-11.20	-1.76	4.56	-33.95	-18.19	35.88	-3.45	472.86	-3.06	-1.33	-62.67
101	96.74	-5.95	-14.01	-1.74	4.58	-33.49	-17.88	27.43	-9.76	450.33	-2.78	-3.67	-57.22
