	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d	Set 3.c3d
9	73.74	108.75	5.93	25.72	73.33	30.11	0.02	116.93	-2.50	-44.57	64.44	49.46	100.11
10	73.84	108.66	6.17	25.40	73.05	29.91	-0.47	115.76	-2.53	-53.09	66.89	57.00	98.33
11	73.94	108.56	6.45	25.07	72.73	29.71	-0.94	114.11	-2.48	-64.48	69.68	64.62	96.68
12	74.05	108.45	6.80	24.72	72.37	29.50	-1.40	112.06	-2.35	-79.04	72.95	72.37	95.17
13	74.17	108.33	7.23	24.35	71.96	29.29	-1.85	109.73	-2.16	-96.48	76.78	80.27	93.79
14	74.28	108.21	7.75	23.97	71.52	29.08	-2.30	107.26	-1.94	-116.04	81.12	88.29	92.48
15	74.38	108.08	8.38	23.56	71.04	28.87	-2.73	104.81	-1.69	-136.77	85.81	96.37	91.17
16	74.49	107.95	9.11	23.12	70.51	28.67	-3.15	102.49	-1.41	-157.63	90.62	104.40	89.81
17	74.59	107.80	9.94	22.66	69.95	28.47	-3.56	100.37	-1.09	-177.54	95.33	112.26	88.39
18	74.69	107.64	10.87	22.18	69.34	28.27	-3.97	98.47	-0.71	-195.31	99.74	119.85	86.90
19	74.78	107.47	11.88	21.67	68.70	28.08	-4.36	96.77	-0.26	-209.67	103.66	127.03	85.35
20	74.88	107.29	12.95	21.15	68.02	27.89	-4.75	95.21	0.25	-219.29	106.98	133.72	83.75
21	74.97	107.09	14.05	20.61	67.31	27.69	-5.13	93.76	0.84	-222.97	109.64	139.83	82.07
22	75.07	106.87	15.16	20.06	66.57	27.49	-5.50	92.35	1.49	-219.71	111.66	145.36	80.30
23	75.16	106.64	16.24	19.50	65.80	27.27	-5.85	90.87	2.20	-209.02	113.13	150.30	78.47
24	75.26	106.39	17.24	18.93	65.01	27.03	-6.20	89.23	2.96	-191.14	114.11	154.69	76.62
25	75.36	106.13	18.14	18.36	64.19	26.77	-6.54	87.32	3.76	-167.11	114.61	158.59	74.81
26	75.46	105.85	18.91	17.78	63.36	26.49	-6.87	85.08	4.59	-138.57	114.66	162.10	73.04
27	75.56	105.56	19.53	17.21	62.50	26.17	-7.19	82.48	5.44	-107.30	114.30	165.39	71.30
28	75.66	105.26	19.98	16.64	61.63	25.82	-7.50	79.57	6.28	-75.07	113.66	168.65	69.53
29	75.76	104.95	20.27	16.08	60.73	25.44	-7.80	76.39	7.07	-43.45	112.86	172.09	67.70
30	75.86	104.63	20.41	15.51	59.82	25.01	-8.09	73.02	7.78	-13.66	112.06	175.84	65.78
31	75.96	104.30	20.40	14.96	58.89	24.55	-8.37	69.52	8.37	13.62	111.36	179.96	63.78
32	76.06	103.97	20.27	14.40	57.94	24.05	-8.64	65.94	8.81	38.25	110.85	184.49	61.72
33	76.16	103.63	20.02	13.85	56.96	23.51	-8.91	62.34	9.08	60.45	110.58	189.38	59.63
34	76.27	103.30	19.67	13.30	55.97	22.93	-9.16	58.76	9.19	80.54	110.57	194.60	57.54
35	76.37	102.97	19.22	12.75	54.94	22.30	-9.41	55.25	9.17	98.80	110.81	200.08	55.50
36	76.48	102.64	18.68	12.20	53.89	21.64	-9.64	51.82	9.03	115.47	111.23	205.73	53.58
37	76.59	102.33	18.06	11.64	52.81	20.93	-9.87	48.48	8.83	130.50	111.72	211.43	51.82
38	76.70	102.02	17.38	11.09	51.71	20.19	-10.09	45.21	8.63	143.48	112.15	217.06	50.30
39	76.82	101.72	16.63	10.53	50.57	19.40	-10.30	41.99	8.49	153.70	112.36	222.47	49.02
40	76.94	101.42	15.85	9.97	49.41	18.57	-10.51	38.82	8.44	160.30	112.18	227.50	48.03
41	77.06	101.12	15.04	9.41	48.23	17.71	-10.72	35.67	8.47	162.54	111.45	232.01	47.32
42	77.18	100.82	14.23	8.86	47.03	16.80	-10.92	32.52	8.56	159.97	110.06	235.85	46.90
43	77.31	100.52	13.44	8.32	45.81	15.84	-11.13	29.37	8.67	152.57	107.92	238.91	46.73
44	77.43	100.20	12.70	7.79	44.57	14.84	-11.33	26.24	8.72	140.78	105.03	241.12	46.75
45	77.55	99.88	12.04	7.28	43.33	13.79	-11.54	23.18	8.64	125.45	101.49	242.49	46.89
46	77.67	99.53	11.46	6.78	42.09	12.70	-11.74	20.26	8.39	107.70	97.48	243.09	47.05
47	77.78	99.17	10.97	6.31	40.84	11.55	-11.95	17.55	7.92	88.79	93.22	243.04	47.18
48	77.89	98.78	10.58	5.86	39.60	10.37	-12.16	15.17	7.23	69.93	88.96	242.49	47.19
49	77.98	98.37	10.28	5.42	38.36	9.13	-12.37	13.27	6.35	52.05	84.92	241.59	47.00
50	78.08	97.93	10.06	5.01	37.13	7.86	-12.58	12.01	5.33	35.81	81.31	240.50	46.55
51	78.16	97.45	9.92	4.62	35.90	6.54	-12.80	11.58	4.31	21.55	78.32	239.36	45.78
52	78.25	96.93	9.85	4.23	34.69	5.19	-13.00	12.16	3.44	9.47	76.09	238.27	44.66
53	78.33	96.37	9.83	3.86	33.47	3.80	-13.21	13.92	2.93	-0.42	74.64	237.27	43.17
54	78.41	95.74	9.86	3.49	32.27	2.39	-13.41	17.02	3.04	-8.21	73.83	236.34	41.31
55	78.50	95.05	9.92	3.13	31.07	0.95	-13.59	21.57	4.08	-14.06	73.40	235.39	39.16
56	78.60	94.27	10.00	2.76	29.88	-0.49	-13.77	27.59	6.35	-18.19	73.05	234.31	36.84
57	78.72	93.40	10.10	2.40	28.69	-1.95	-13.94	35.04	10.17	-20.78	72.56	233.00	34.49
58	78.86	92.41	10.21	2.04	27.51	-3.41	-14.10	43.85	15.81	-21.95	71.79	231.36	32.26
59	79.04	91.30	10.32	1.68	26.35	-4.87	-14.25	53.88	23.50	-21.70	70.68	229.35	30.23
60	79.25	90.06	10.42	1.34	25.19	-6.32	-14.39	64.97	33.45	-19.89	69.21	226.94	28.49
61	79.50	88.67	10.52	1.00	24.05	-7.76	-14.52	76.91	45.88	-16.34	67.37	224.15	27.07
62	79.80	87.13	10.59	0.67	22.93	-9.19	-14.64	89.47	61.03	-10.96	65.16	221.01	25.97
63	80.15	85.45	10.63	0.35	21.83	-10.60	-14.76	102.43	79.12	-3.82	62.57	217.59	25.17
64	80.56	83.61	10.63	0.05	20.75	-12.01	-14.87	115.51	100.34	4.78	59.62	213.94	24.63
65	81.04	81.62	10.58	-0.24	19.70	-13.39	-14.98	128.50	124.82	14.34	56.29	210.11	24.28
66	81.57	79.47	10.48	-0.50	18.66	-14.78	-15.09	141.18	152.55	24.28	52.58	206.13	24.08
67	82.18	77.18	10.34	-0.75	17.65	-16.15	-15.20	153.38	183.44	33.95	48.55	202.00	23.96
68	82.85	74.74	10.14	-0.98	16.67	-17.51	-15.30	165.00	217.21	42.71	44.31	197.72	23.85
69	83.59	72.15	9.91	-1.19	15.71	-18.86	-15.41	175.92	253.36	50.00	40.01	193.23	23.70
70	84.41	69.41	9.64	-1.38	14.78	-20.20	-15.51	186.05	291.14	55.43	35.77	188.47	23.48
71	85.29	66.53	9.35	-1.54	13.87	-21.52	-15.62	195.27	329.51	58.89	31.69	183.33	23.19
72	86.23	63.50	9.05	-1.69	12.99	-22.82	-15.72	203.48	367.14	60.53	27.83	177.70	22.85
73	87.23	60.35	8.75	-1.82	12.15	-24.08	-15.82	210.55	402.52	60.78	24.25	171.48	22.52
74	88.29	57.09	8.45	-1.93	11.33	-25.31	-15.92	216.38	434.06	60.25	21.01	164.63	22.29
75	89.38	53.75	8.16	-2.03	10.55	-26.50	-16.02	220.90	460.29	59.63	18.14	157.10	22.29
76	90.49	50.36	7.87	-2.11	9.81	-27.63	-16.11	224.10	480.05	59.51	15.61	148.92	22.67
77	91.60	46.96	7.58	-2.18	9.11	-28.72	-16.21	226.13	492.73	60.19	13.37	140.15	23.53
78	92.70	43.58	7.28	-2.24	8.45	-29.75	-16.31	227.29	498.32	61.67	11.36	130.86	24.93
79	93.75	40.26	6.98	-2.30	7.84	-30.72	-16.42	228.06	497.45	63.64	9.57	121.20	26.81
80	94.74	37.01	6.67	-2.34	7.27	-31.62	-16.53	229.06	491.29	65.70	7.98	111.32	28.98
81	95.65	33.85	6.34	-2.38	6.75	-32.46	-16.66	230.96	481.34	67.48	6.58	101.37	31.15
82	96.46	30.76	6.00	-2.40	6.27	-33.22	-16.79	234.35	469.19	68.88	5.37	91.54	32.87
83	97.14	27.75	5.65	-2.43	5.84	-33.91	-16.92	239.66	456.36	70.20	4.37	81.95	33.59
84	97.71	24.77	5.28	-2.45	5.45	-34.52	-17.06	246.87	444.00	72.24	3.60	72.73	32.81
85	98.16	21.80	4.89	-2.46	5.10	-35.06	-17.18	255.18	432.74	75.88	3.06	63.98	30.29
86	98.50	18.80	4.47	-2.47	4.80	-35.53	-17.29	262.86	422.49	81.59	2.75	55.72	26.12
87	98.79	15.75	3.99	-2.49	4.53	-35.92	-17.38	267.18	412.23	89.09	2.67	47.97	20.67
88	99.07	12.64	3.47	-2.50	4.30	-36.24	-17.44	264.93	399.82	97.85	2.78	40.68	14.21
89	99.40	9.54	2.88	-2.51	4.11	-36.50	-17.47	253.57	382.58	107.60	2.99	33.77	6.95
90	99.83	6.53	2.24	-2.53	3.95	-36.68	-17.46	232.28	358.25	118.26	3.23	27.14	-0.93
91	100.38	3.74	1.52	-2.54	3.82	-36.80	-17.41	202.74	326.25	129.42	3.47	20.70	-9.03
92	101.02	1.30	0.72	-2.56	3.73	-36.86	-17.33	168.54	288.04	140.12	3.67	14.37	-16.79
93	101.68	-0.72	-0.14	-2.58	3.67	-36.86	-17.22	133.71	246.36	148.99	3.84	8.11	-23.71
94	102.30	-2.31	-1.05	-2.60	3.64	-36.79	-17.07	101.59	204.21	154.53	3.98	1.90	-29.55
95	102.82	-3.52	-2.00	-2.61	3.64	-36.66	-16.90	74.01	164.05	155.34	4.09	-4.23	-34.46
96	103.22	-4.39	-2.93	-2.63	3.67	-36.47	-16.72	51.64	127.57	150.36	4.17	-10.21	-38.97
97	103.51	-5.00	-3.82	-2.65	3.73	-36.21	-16.51	34.40	95.77	138.76	4.30	-15.93	-43.85
98	103.70	-5.41	-4.62	-2.68	3.82	-35.89	-16.28	21.86	69.11	120.06	4.55	-21.27	-49.98
99	103.82	-5.67	-5.28	-2.70	3.93	-35.51	-16.02	13.45	47.60	94.33	5.01	-26.09	-57.78
100	103.89	-5.81	-5.76	-2.72	4.06	-35.08	-15.71	8.45	30.95	62.79	5.74	-30.30	-66.90
101	103.94	-5.87	-6.04	-2.75	4.21	-34.58	-15.36	6.13	18.61	27.70	6.82	-33.79	-76.44
