	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d	Free 5.c3d
10	73.99	109.90	5.28	32.25	91.00	30.35	1.45	85.83	-0.14	33.04	69.99	62.77	111.50
11	74.06	110.03	5.01	31.89	90.64	30.24	0.89	86.25	-0.60	64.48	71.01	69.84	107.83
12	74.13	110.14	4.55	31.53	90.25	30.13	0.35	87.30	-1.10	96.40	71.97	76.60	103.74
13	74.21	110.23	3.91	31.16	89.82	30.01	-0.18	89.02	-1.62	126.39	72.90	83.05	99.30
14	74.29	110.30	3.12	30.78	89.36	29.89	-0.67	91.40	-2.12	151.72	73.88	89.22	94.60
15	74.37	110.34	2.21	30.40	88.88	29.76	-1.14	94.38	-2.55	169.20	74.98	95.17	89.74
16	74.46	110.35	1.23	30.02	88.36	29.63	-1.58	97.82	-2.84	175.56	76.23	100.96	84.84
17	74.55	110.33	0.25	29.63	87.82	29.50	-2.00	101.51	-2.94	168.04	77.62	106.65	80.02
18	74.65	110.27	-0.64	29.23	87.24	29.36	-2.39	105.19	-2.75	144.75	79.07	112.28	75.46
19	74.76	110.17	-1.35	28.82	86.64	29.22	-2.76	108.54	-2.20	104.91	80.51	117.88	71.33
20	74.88	110.04	-1.80	28.41	86.01	29.07	-3.11	111.26	-1.21	48.87	81.88	123.47	67.77
21	75.01	109.87	-1.90	27.99	85.35	28.90	-3.43	113.14	0.28	-22.04	83.20	129.06	64.87
22	75.15	109.68	-1.58	27.57	84.66	28.73	-3.75	114.03	2.33	-105.62	84.60	134.67	62.62
23	75.30	109.46	-0.77	27.13	83.95	28.54	-4.05	113.87	4.95	-198.87	86.18	140.30	60.99
24	75.45	109.21	0.58	26.69	83.20	28.33	-4.34	112.66	8.13	-298.06	88.01	145.93	59.87
25	75.61	108.94	2.46	26.24	82.42	28.10	-4.63	110.49	11.81	-398.74	90.08	151.53	59.15
26	75.78	108.66	4.89	25.78	81.62	27.85	-4.92	107.48	15.89	-495.50	92.36	157.07	58.68
27	75.95	108.36	7.80	25.30	80.79	27.57	-5.21	103.79	20.23	-581.79	94.81	162.49	58.32
28	76.12	108.05	11.11	24.82	79.92	27.27	-5.50	99.61	24.63	-650.08	97.35	167.79	57.94
29	76.28	107.72	14.68	24.32	79.04	26.93	-5.78	95.11	28.85	-693.03	99.83	172.93	57.41
30	76.45	107.39	18.35	23.80	78.12	26.56	-6.06	90.50	32.65	-705.09	102.16	177.92	56.64
31	76.61	107.05	21.95	23.28	77.19	26.15	-6.34	85.92	35.76	-683.90	104.28	182.78	55.54
32	76.77	106.72	25.31	22.74	76.22	25.71	-6.62	81.50	37.97	-631.14	106.25	187.58	54.10
33	76.91	106.40	28.30	22.19	75.24	25.23	-6.88	77.28	39.17	-551.96	108.17	192.38	52.36
34	77.06	106.10	30.84	21.64	74.23	24.71	-7.14	73.25	39.40	-453.75	110.13	197.29	50.43
35	77.19	105.81	32.85	21.07	73.20	24.16	-7.39	69.35	38.83	-344.73	112.22	202.41	48.45
36	77.32	105.54	34.31	20.49	72.13	23.57	-7.62	65.48	37.71	-232.36	114.56	207.85	46.61
37	77.45	105.29	35.22	19.90	71.05	22.94	-7.85	61.54	36.30	-122.26	117.29	213.71	45.03
38	77.57	105.05	35.58	19.30	69.93	22.29	-8.07	57.43	34.77	-17.97	120.52	220.07	43.84
39	77.68	104.82	35.43	18.67	68.77	21.60	-8.28	53.07	33.23	78.73	124.19	226.94	43.07
40	77.80	104.61	34.79	18.03	67.58	20.88	-8.49	48.43	31.69	167.21	128.07	234.26	42.73
41	77.91	104.39	33.71	17.36	66.35	20.13	-8.70	43.52	30.10	247.31	131.69	241.90	42.81
42	78.02	104.18	32.24	16.68	65.07	19.35	-8.91	38.35	28.38	318.81	134.64	249.69	43.26
43	78.13	103.96	30.43	15.98	63.76	18.53	-9.12	33.04	26.42	380.74	136.58	257.45	43.98
44	78.24	103.73	28.36	15.28	62.40	17.68	-9.33	27.76	24.20	430.80	137.46	265.04	44.81
45	78.35	103.49	26.08	14.57	61.00	16.80	-9.55	22.77	21.75	465.37	137.41	272.34	45.55
46	78.45	103.24	23.69	13.87	59.56	15.88	-9.77	18.33	19.17	480.62	136.69	279.25	46.02
47	78.56	102.97	21.28	13.17	58.09	14.93	-10.00	14.71	16.61	473.88	135.60	285.66	46.09
48	78.67	102.67	18.97	12.48	56.58	13.94	-10.22	12.10	14.22	444.92	134.35	291.47	45.69
49	78.78	102.35	16.84	11.79	55.04	12.92	-10.44	10.66	12.15	396.65	132.96	296.55	44.82
50	78.89	101.99	14.98	11.12	53.48	11.87	-10.66	10.49	10.57	334.03	131.33	300.78	43.52
51	79.00	101.58	13.46	10.45	51.90	10.78	-10.87	11.64	9.69	262.85	129.26	304.04	41.88
52	79.12	101.14	12.31	9.79	50.31	9.65	-11.07	14.11	9.73	188.57	126.60	306.24	40.00
53	79.24	100.63	11.53	9.15	48.71	8.49	-11.26	17.90	10.96	115.86	123.26	307.30	37.96
54	79.37	100.05	11.11	8.53	47.11	7.30	-11.45	22.96	13.69	48.56	119.21	307.17	35.87
55	79.51	99.39	11.02	7.93	45.51	6.08	-11.62	29.26	18.28	-10.38	114.49	305.84	33.75
56	79.65	98.64	11.21	7.36	43.93	4.83	-11.79	36.78	25.11	-58.83	109.18	303.33	31.66
57	79.80	97.77	11.62	6.81	42.36	3.55	-11.95	45.48	34.60	-95.47	103.46	299.69	29.59
58	79.97	96.77	12.18	6.30	40.82	2.26	-12.10	55.34	47.18	-119.86	97.58	295.03	27.57
59	80.15	95.63	12.83	5.81	39.31	0.96	-12.24	66.30	63.23	-132.68	91.79	289.47	25.60
60	80.35	94.31	13.51	5.36	37.83	-0.36	-12.37	78.29	83.12	-135.83	86.29	283.18	23.72
61	80.58	92.81	14.19	4.93	36.39	-1.67	-12.49	91.19	107.05	-132.33	81.27	276.32	22.02
62	80.83	91.11	14.84	4.53	35.00	-2.97	-12.60	104.83	134.99	-125.63	76.83	269.09	20.60
63	81.13	89.20	15.45	4.15	33.64	-4.26	-12.71	119.00	166.61	-118.98	72.98	261.66	19.59
64	81.46	87.08	16.04	3.79	32.33	-5.53	-12.81	133.46	201.33	-114.76	69.60	254.18	19.11
65	81.84	84.74	16.62	3.44	31.06	-6.78	-12.91	147.93	238.34	-114.25	66.54	246.79	19.24
66	82.27	82.19	17.20	3.11	29.83	-8.00	-13.01	162.12	276.76	-117.55	63.66	239.60	20.06
67	82.76	79.43	17.81	2.79	28.64	-9.19	-13.12	175.68	315.75	-123.75	60.94	232.74	21.65
68	83.31	76.48	18.46	2.49	27.49	-10.36	-13.23	188.30	354.57	-131.12	58.38	226.28	24.07
69	83.92	73.33	19.14	2.19	26.37	-11.50	-13.36	199.66	392.49	-137.38	56.00	220.26	27.40
70	84.59	70.01	19.85	1.91	25.28	-12.62	-13.50	209.49	428.67	-140.28	53.71	214.70	31.70
71	85.31	66.53	20.57	1.65	24.22	-13.72	-13.67	217.58	462.17	-137.96	51.43	209.54	37.02
72	86.09	62.89	21.26	1.39	23.19	-14.79	-13.86	223.81	492.01	-129.16	49.03	204.73	43.33
73	86.89	59.11	21.89	1.15	22.18	-15.84	-14.07	228.18	517.24	-113.18	46.47	200.21	50.50
74	87.73	55.21	22.42	0.92	21.19	-16.87	-14.32	230.83	537.03	-89.93	43.78	195.95	58.26
75	88.58	51.22	22.81	0.70	20.22	-17.88	-14.60	232.03	550.64	-59.93	41.05	191.91	66.15
76	89.42	47.16	23.04	0.50	19.28	-18.86	-14.92	232.24	557.53	-24.21	38.43	188.11	73.49
77	90.23	43.07	23.07	0.31	18.35	-19.82	-15.26	232.00	557.35	15.78	36.05	184.54	79.38
78	91.01	38.97	22.89	0.13	17.44	-20.76	-15.63	231.97	549.97	58.40	33.96	181.19	82.73
79	91.73	34.92	22.48	-0.04	16.55	-21.69	-16.00	232.69	535.50	102.05	32.18	178.06	82.42
80	92.38	30.94	21.85	-0.20	15.68	-22.60	-16.35	234.49	514.27	145.31	30.65	175.09	77.71
81	92.97	27.09	20.99	-0.35	14.82	-23.50	-16.68	237.27	487.03	187.10	29.35	172.26	68.68
82	93.49	23.39	19.92	-0.50	13.98	-24.38	-16.95	240.43	455.10	226.67	28.24	169.49	56.48
83	93.94	19.87	18.64	-0.64	13.15	-25.25	-17.15	243.02	420.27	263.80	27.27	166.70	43.00
84	94.34	16.55	17.16	-0.77	12.35	-26.11	-17.30	243.78	384.45	298.90	26.36	163.75	30.38
85	94.71	13.42	15.49	-0.91	11.55	-26.95	-17.38	241.29	349.44	332.65	25.45	160.49	20.44
86	95.05	10.50	13.63	-1.03	10.78	-27.77	-17.44	234.17	316.53	365.25	24.54	156.77	14.08
87	95.40	7.78	11.59	-1.16	10.02	-28.56	-17.47	221.42	285.92	395.60	23.63	152.46	10.83
88	95.77	5.28	9.37	-1.27	9.29	-29.32	-17.50	202.99	256.61	421.23	22.73	147.43	9.11
89	96.16	3.02	7.02	-1.39	8.58	-30.04	-17.52	180.08	227.07	438.92	21.81	141.60	6.86
90	96.58	1.05	4.59	-1.50	7.90	-30.72	-17.54	155.18	196.31	445.84	20.81	134.91	2.31
91	97.01	-0.62	2.14	-1.60	7.26	-31.34	-17.52	131.13	164.80	440.77	19.68	127.33	-5.36
92	97.43	-1.99	-0.26	-1.70	6.65	-31.91	-17.46	110.01	133.98	424.37	18.34	118.90	-15.91
93	97.82	-3.08	-2.55	-1.79	6.09	-32.42	-17.35	92.62	105.48	398.86	16.79	109.69	-28.15
94	98.18	-3.93	-4.67	-1.87	5.57	-32.87	-17.18	78.48	80.38	367.45	15.06	99.82	-40.23
95	98.50	-4.57	-6.61	-1.94	5.11	-33.24	-16.95	66.29	59.05	333.68	13.23	89.46	-50.08
96	98.78	-5.04	-8.35	-2.00	4.69	-33.55	-16.68	54.75	41.34	300.81	11.38	78.81	-55.99
97	99.02	-5.36	-9.92	-2.05	4.33	-33.78	-16.39	43.06	26.91	271.26	9.58	68.04	-57.12
98	99.19	-5.57	-11.33	-2.10	4.02	-33.93	-16.12	31.20	15.44	246.06	7.89	57.33	-53.84
99	99.31	-5.69	-12.61	-2.13	3.77	-34.02	-15.87	19.70	6.62	224.61	6.38	46.88	-47.40
100	99.38	-5.73	-13.78	-2.16	3.56	-34.03	-15.65	9.16	0.15	205.08	5.10	36.85	-39.29
101	99.38	-5.73	-14.84	-2.18	3.41	-33.97	-15.48	0.07	-4.30	185.23	4.10	27.36	-30.91
