	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d	Free 9.c3d
10	78.18	109.68	3.23	34.36	94.83	26.96	-2.47	93.87	0.91	28.31	70.51	91.34	89.89
11	78.39	109.47	3.65	33.71	93.94	26.63	-3.26	98.57	4.18	-120.86	72.29	100.01	82.76
12	78.62	109.15	5.49	33.03	92.97	26.26	-3.98	101.24	8.44	-270.39	75.23	109.48	75.66
13	78.87	108.71	8.68	32.32	91.91	25.85	-4.64	101.64	13.67	-402.87	79.84	120.06	68.48
14	79.13	108.17	12.99	31.56	90.74	25.40	-5.24	99.38	19.58	-500.76	85.89	131.75	61.84
15	79.40	107.56	18.01	30.74	89.45	24.93	-5.78	94.35	25.53	-548.76	92.90	144.38	56.47
16	79.66	106.93	23.18	29.85	88.04	24.44	-6.28	87.12	30.69	-536.71	100.81	157.68	52.62
17	79.92	106.31	27.89	28.88	86.51	23.95	-6.76	78.68	34.45	-467.96	109.47	171.40	50.11
18	80.16	105.73	31.71	27.83	84.85	23.45	-7.21	70.07	36.72	-360.08	118.14	185.24	48.47
19	80.39	105.20	34.43	26.70	83.06	22.95	-7.64	62.23	37.92	-237.08	126.00	198.86	47.03
20	80.60	104.72	36.04	25.50	81.14	22.43	-8.05	55.58	38.55	-119.87	133.19	212.07	45.48
21	80.81	104.28	36.66	24.24	79.10	21.87	-8.45	49.93	38.84	-19.99	140.31	224.83	44.05
22	81.02	103.87	36.46	22.91	76.94	21.26	-8.83	44.86	38.56	59.50	147.32	237.16	43.15
23	81.24	103.48	35.63	21.52	74.67	20.58	-9.20	39.71	37.25	120.88	153.17	248.98	43.19
24	81.48	103.12	34.28	20.08	72.28	19.82	-9.57	33.62	34.53	170.01	156.54	260.14	44.57
25	81.75	102.81	32.50	18.63	69.79	18.94	-9.96	26.06	30.45	211.55	156.91	270.47	47.26
26	82.03	102.53	30.37	17.18	67.20	17.92	-10.38	17.28	25.77	244.87	154.57	279.81	50.38
27	82.31	102.29	27.97	15.77	64.53	16.74	-10.83	8.02	21.70	265.81	149.97	287.99	52.77
28	82.58	102.07	25.44	14.41	61.79	15.39	-11.30	-1.09	19.48	270.69	143.40	294.78	53.57
29	82.81	101.81	22.96	13.12	58.99	13.87	-11.77	-9.36	20.15	257.07	135.52	300.06	52.30
30	82.97	101.48	20.70	11.91	56.16	12.17	-12.22	-15.94	24.59	224.65	127.21	303.71	48.90
31	83.07	101.00	18.83	10.77	53.30	10.32	-12.65	-20.01	33.39	178.82	118.99	305.65	43.98
32	83.10	100.30	17.42	9.71	50.43	8.32	-13.02	-20.82	46.79	129.62	111.03	305.73	38.65
33	83.09	99.33	16.46	8.71	47.58	6.20	-13.36	-17.66	64.74	86.18	103.17	303.71	33.96
34	83.09	98.02	15.86	7.80	44.77	3.99	-13.66	-9.95	87.27	53.14	95.41	299.45	30.43
35	83.12	96.32	15.50	6.95	42.02	1.71	-13.93	2.49	114.77	30.60	88.39	293.10	28.34
36	83.24	94.17	15.30	6.16	39.34	-0.61	-14.19	19.32	147.84	15.77	82.56	285.07	27.72
37	83.48	91.49	15.21	5.42	36.76	-2.94	-14.45	39.98	187.07	4.40	77.72	275.83	28.30
38	83.87	88.20	15.22	4.73	34.27	-5.27	-14.72	63.73	232.52	-8.01	73.35	265.84	29.73
39	84.41	84.26	15.36	4.07	31.88	-7.56	-15.00	89.67	283.43	-23.72	68.86	255.51	31.68
40	85.11	79.66	15.66	3.46	29.60	-9.80	-15.30	116.83	338.27	-41.42	63.96	245.23	33.82
41	85.98	74.43	16.12	2.90	27.41	-11.98	-15.60	143.94	394.66	-56.61	58.68	235.30	36.13
42	87.01	68.60	16.69	2.39	25.32	-14.09	-15.92	169.32	448.84	-63.63	53.18	225.83	39.08
43	88.17	62.21	17.27	1.93	23.31	-16.13	-16.26	191.43	495.37	-58.52	48.02	216.89	43.37
44	89.40	55.33	17.75	1.51	21.40	-18.09	-16.63	209.37	527.82	-39.92	43.81	208.52	49.70
45	90.63	48.03	17.99	1.12	19.57	-19.95	-17.06	222.86	539.84	-8.36	40.60	200.65	58.38
46	91.78	40.45	17.88	0.76	17.83	-21.70	-17.57	232.37	527.25	33.87	37.94	193.16	68.52
47	92.77	32.72	17.35	0.42	16.17	-23.34	-18.17	238.79	490.64	82.30	35.22	185.86	77.75
48	93.54	24.99	16.36	0.11	14.57	-24.88	-18.84	241.14	436.68	130.84	32.12	178.43	83.96
49	94.13	17.43	14.92	-0.17	13.06	-26.33	-19.55	234.90	375.62	174.61	28.47	170.36	85.91
50	94.63	10.38	13.08	-0.41	11.62	-27.67	-20.27	213.42	314.35	212.37	24.09	161.08	81.74
51	95.18	4.36	10.89	-0.61	10.26	-28.89	-20.92	174.70	250.62	241.05	18.98	150.18	69.43
52	95.80	-0.13	8.47	-0.76	9.01	-29.97	-21.44	128.10	180.50	249.27	13.38	137.56	48.58
53	96.39	-2.99	6.07	-0.86	7.86	-30.91	-21.74	87.68	108.55	228.59	8.02	123.39	19.84
54	96.92	-4.42	3.98	-0.91	6.84	-31.68	-21.76	60.32	41.47	187.20	3.80	107.98	-13.54
55	97.38	-4.73	2.34	-0.93	5.95	-32.26	-21.48	44.57	-17.12	143.56	0.86	91.72	-45.01
56	97.81	-4.16	1.07	-0.93	5.20	-32.64	-20.94	37.37	-64.13	113.66	-1.19	75.03	-69.72
57	98.25	-2.96	0.00	-0.91	4.59	-32.81	-20.22	37.48	-94.41	107.11	-2.48	58.35	-85.36
58	98.71	-1.45	-1.13	-0.89	4.14	-32.75	-19.39	45.71	-99.69	120.14	-2.86	42.13	-91.24
59	99.20	-0.07	-2.46	-0.86	3.83	-32.48	-18.56	62.44	-72.31	135.47	-2.19	26.79	-87.61
60	99.72	0.71	-3.89	-0.85	3.65	-31.99	-17.79	82.80	-17.22	137.39	-0.74	12.65	-75.97
61	100.34	0.65	-5.26	-0.85	3.60	-31.30	-17.16	96.87	41.98	124.77	1.10	0.06	-61.22
62	101.12	-0.13	-6.45	-0.87	3.65	-30.41	-16.66	97.49	79.82	103.75	3.05	-10.54	-49.08
63	102.01	-1.23	-7.39	-0.91	3.79	-29.36	-16.26	86.02	88.89	74.97	5.19	-18.57	-41.53
64	102.91	-2.33	-7.98	-0.96	3.99	-28.15	-15.91	68.81	76.69	38.36	7.78	-23.47	-37.71
65	103.70	-3.19	-8.18	-1.05	4.22	-26.82	-15.59	51.32	52.64	1.46	11.12	-24.81	-37.14
66	104.32	-3.71	-8.03	-1.17	4.43	-25.38	-15.26	35.91	23.12	-28.96	15.31	-22.61	-39.88
67	104.77	-3.85	-7.60	-1.33	4.61	-23.87	-14.89	23.09	-7.50	-54.53	19.84	-17.40	-45.71
68	105.04	-3.62	-6.94	-1.54	4.73	-22.30	-14.46	12.64	-35.33	-74.06	23.84	-10.08	-53.21
69	105.15	-3.08	-6.13	-1.77	4.77	-20.69	-13.97	4.29	-56.00	-80.51	26.15	-1.79	-59.36
70	105.11	-2.37	-5.36	-2.01	4.73	-19.06	-13.44	-1.55	-63.39	-67.81	25.80	6.26	-60.39
71	104.93	-1.70	-4.80	-2.24	4.62	-17.45	-12.93	-3.71	-50.24	-42.10	22.61	13.03	-53.50
72	104.61	-1.38	-4.51	-2.43	4.47	-15.85	-12.53	-2.39	-15.59	-17.80	17.14	17.87	-38.81
73	104.17	-1.60	-4.43	-2.56	4.29	-14.29	-12.28	-2.27	24.49	1.10	10.53	20.60	-21.87
74	103.63	-2.25	-4.53	-2.62	4.09	-12.77	-12.16	-7.28	49.82	16.88	4.67	21.58	-10.39
75	103.01	-3.02	-4.75	-2.65	3.90	-11.30	-12.11	-14.65	56.33	25.45	1.27	21.37	-7.93
76	102.33	-3.73	-5.00	-2.65	3.71	-9.88	-12.04	-19.59	50.63	20.93	0.47	20.32	-14.01
77	101.63	-4.29	-5.14	-2.66	3.54	-8.53	-11.87	-21.18	39.49	4.81	1.32	18.60	-24.47
78	100.94	-4.69	-5.10	-2.68	3.38	-7.26	-11.61	-22.09	27.51	-13.63	2.75	16.19	-32.47
79	100.26	-4.95	-4.89	-2.71	3.24	-6.07	-11.30	-24.37	17.02	-27.31	3.99	12.98	-34.60
80	99.57	-5.10	-4.58	-2.75	3.12	-4.96	-10.99	-27.97	8.95	-33.51	4.40	8.98	-32.42
81	98.88	-5.17	-4.26	-2.79	3.04	-3.93	-10.71	-32.21	3.42	-29.62	3.53	4.59	-28.96
82	98.19	-5.18	-4.03	-2.81	2.99	-2.97	-10.47	-37.22	0.06	-13.08	1.48	0.50	-25.40
83	97.50	-5.16	-4.03	-2.81	2.96	-2.08	-10.27	-43.06	-1.67	17.95	-1.24	-2.64	-21.44
84	96.78	-5.13	-4.39	-2.79	2.96	-1.26	-10.10	-48.55	-2.34	61.11	-3.88	-4.33	-18.12
85	96.04	-5.09	-5.19	-2.74	2.96	-0.49	-9.97	-52.77	-2.41	108.37	-5.89	-4.39	-16.68
86	95.26	-5.06	-6.44	-2.68	2.97	0.23	-9.84	-55.75	-2.19	150.27	-7.41	-2.91	-17.06
87	94.44	-5.03	-8.03	-2.61	2.97	0.89	-9.70	-57.62	-1.87	180.48	-8.76	-0.21	-18.82
88	93.60	-5.00	-9.85	-2.52	2.95	1.48	-9.54	-57.93	-1.60	197.17	-9.60	3.33	-21.71
89	92.74	-4.97	-11.77	-2.44	2.91	2.00	-9.36	-56.24	-1.40	203.60	-9.28	7.43	-25.24
90	91.91	-4.95	-13.72	-2.36	2.84	2.45	-9.15	-52.90	-1.24	205.16	-7.61	11.80	-28.72
91	91.10	-4.92	-15.70	-2.30	2.74	2.81	-8.91	-48.69	-0.98	204.55	-5.02	16.23	-31.61
92	90.33	-4.90	-17.66	-2.27	2.61	3.07	-8.65	-44.18	-0.47	199.84	-2.02	20.43	-33.61
93	89.60	-4.88	-19.54	-2.26	2.44	3.24	-8.37	-39.88	0.52	185.42	0.59	24.02	-34.46
94	88.92	-4.89	-21.22	-2.28	2.23	3.32	-8.09	-36.56	2.15	159.41	1.92	26.71	-33.45
95	88.28	-4.93	-22.62	-2.30	1.99	3.33	-7.83	-35.43	4.23	129.32	2.09	28.45	-29.96
96	87.67	-5.00	-23.73	-2.32	1.73	3.26	-7.61	-37.48	6.23	104.63	1.94	29.37	-24.40
97	87.05	-5.10	-24.64	-2.34	1.45	3.14	-7.44	-42.42	7.70	86.71	1.78	29.48	-18.12
98	86.37	-5.22	-25.40	-2.35	1.17	2.99	-7.33	-49.08	8.27	71.96	1.14	28.61	-12.62
99	85.61	-5.34	-26.02	-2.36	0.88	2.80	-7.27	-55.99	7.27	57.20	-0.69	26.55	-9.58
100	84.76	-5.43	-26.50	-2.34	0.62	2.61	-7.21	-60.93	3.56	40.22	-3.21	23.33	-11.80
101	83.81	-5.45	-26.79	-2.30	0.39	2.42	-7.10	-62.69	-4.35	19.05	-4.84	19.28	-20.52
