	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d	Free 8.c3d
9	73.02	110.19	0.42	35.66	95.66	28.71	1.04	97.45	-0.16	-72.82	74.99	62.05	117.09
10	73.20	110.21	1.12	35.18	95.23	28.60	0.32	100.64	-0.19	-101.75	77.00	70.58	110.53
11	73.42	110.21	2.10	34.68	94.75	28.50	-0.36	104.38	-0.19	-142.90	78.70	78.80	103.53
12	73.69	110.20	3.48	34.18	94.22	28.41	-1.00	108.49	-0.09	-195.01	80.16	86.75	96.31
13	73.99	110.17	5.30	33.67	93.64	28.33	-1.58	112.79	0.21	-253.53	81.44	94.50	89.06
14	74.32	110.11	7.59	33.14	93.01	28.24	-2.11	117.18	0.78	-312.87	82.69	102.15	81.90
15	74.66	110.03	10.30	32.61	92.34	28.15	-2.60	121.54	1.72	-367.90	84.16	109.80	74.91
16	75.01	109.90	13.35	32.07	91.61	28.05	-3.04	125.64	3.09	-413.97	85.99	117.52	68.19
17	75.36	109.74	16.65	31.52	90.85	27.94	-3.44	129.06	4.93	-447.32	88.08	125.33	61.97
18	75.71	109.55	20.05	30.96	90.03	27.81	-3.80	131.31	7.22	-466.06	90.30	133.26	56.47
19	76.07	109.32	23.44	30.38	89.16	27.66	-4.12	131.97	9.84	-469.91	92.68	141.29	51.78
20	76.41	109.06	26.72	29.78	88.25	27.50	-4.42	130.69	12.61	-459.00	95.31	149.43	47.94
21	76.75	108.78	29.78	29.17	87.29	27.33	-4.69	127.30	15.28	-433.34	98.22	157.65	44.94
22	77.07	108.50	32.57	28.54	86.27	27.13	-4.94	121.83	17.60	-393.31	101.37	165.95	42.72
23	77.37	108.21	34.99	27.89	85.21	26.92	-5.18	114.55	19.36	-340.49	104.78	174.34	41.15
24	77.66	107.92	37.00	27.21	84.08	26.70	-5.41	105.82	20.47	-277.99	108.54	182.87	40.08
25	77.91	107.66	38.57	26.51	82.90	26.46	-5.63	96.08	20.92	-210.23	112.72	191.56	39.40
26	78.15	107.41	39.70	25.78	81.66	26.20	-5.85	85.77	20.79	-142.00	117.31	200.40	39.01
27	78.35	107.18	40.40	25.02	80.36	25.92	-6.07	75.35	20.21	-77.55	122.25	209.39	38.84
28	78.54	106.98	40.72	24.22	79.00	25.61	-6.29	65.19	19.36	-20.43	127.42	218.51	38.79
29	78.70	106.79	40.71	23.39	77.56	25.27	-6.51	55.61	18.48	26.28	132.71	227.78	38.79
30	78.84	106.62	40.44	22.52	76.06	24.88	-6.73	46.85	17.80	60.03	138.04	237.22	38.75
31	78.97	106.46	40.00	21.62	74.49	24.45	-6.95	39.01	17.51	79.31	143.33	246.88	38.65
32	79.09	106.31	39.47	20.69	72.85	23.95	-7.17	32.05	17.71	84.13	148.39	256.76	38.56
33	79.20	106.15	38.95	19.73	71.13	23.40	-7.39	25.76	18.39	76.00	152.93	266.80	38.68
34	79.31	105.99	38.52	18.73	69.35	22.79	-7.61	19.89	19.47	57.86	156.61	276.91	39.22
35	79.41	105.82	38.21	17.72	67.48	22.10	-7.83	14.24	20.77	33.81	159.18	286.91	40.25
36	79.52	105.64	38.08	16.69	65.55	21.34	-8.06	8.74	22.10	8.53	160.53	296.56	41.70
37	79.62	105.45	38.10	15.66	63.56	20.50	-8.30	3.43	23.31	-13.36	160.69	305.60	43.37
38	79.73	105.25	38.25	14.63	61.50	19.57	-8.55	-1.54	24.32	-27.99	159.68	313.71	44.98
39	79.83	105.04	38.46	13.62	59.40	18.56	-8.81	-5.95	25.17	-32.54	157.39	320.63	46.20
40	79.93	104.82	38.66	12.62	57.27	17.46	-9.08	-9.57	25.95	-25.37	153.63	326.14	46.71
41	80.03	104.59	38.79	11.65	55.10	16.28	-9.35	-12.23	26.81	-5.84	148.60	330.21	46.30
42	80.13	104.34	38.74	10.71	52.92	15.01	-9.61	-13.81	27.90	25.86	142.83	332.94	44.92
43	80.22	104.07	38.46	9.82	50.73	13.67	-9.87	-14.22	29.47	68.45	136.79	334.47	42.66
44	80.31	103.75	37.88	8.96	48.54	12.25	-10.11	-13.35	31.87	119.19	130.58	334.86	39.67
45	80.40	103.37	36.95	8.15	46.36	10.77	-10.34	-11.04	35.51	173.97	124.14	334.12	36.16
46	80.48	102.90	35.67	7.37	44.19	9.22	-10.55	-7.12	40.86	227.87	117.38	332.27	32.33
47	80.57	102.33	34.06	6.65	42.05	7.62	-10.74	-1.41	48.35	275.86	110.25	329.29	28.36
48	80.66	101.63	32.17	5.96	39.94	5.96	-10.90	6.30	58.34	313.23	102.78	325.20	24.38
49	80.76	100.75	30.09	5.33	37.86	4.25	-11.05	16.11	70.93	336.08	95.12	320.06	20.56
50	80.87	99.66	27.91	4.75	35.83	2.49	-11.18	27.97	85.99	341.69	87.41	313.91	17.11
51	81.00	98.35	25.75	4.22	33.85	0.70	-11.29	41.68	103.32	328.87	79.83	306.86	14.34
52	81.16	96.77	23.74	3.74	31.92	-1.13	-11.39	57.06	122.74	297.94	72.62	299.03	12.44
53	81.36	94.90	21.99	3.30	30.06	-2.97	-11.47	74.00	144.17	250.77	66.05	290.52	11.51
54	81.60	92.73	20.57	2.90	28.26	-4.81	-11.56	92.39	167.62	190.45	60.34	281.45	11.54
55	81.89	90.24	19.58	2.54	26.52	-6.65	-11.65	112.17	193.19	121.09	55.54	271.97	12.42
56	82.26	87.39	19.05	2.20	24.86	-8.46	-11.75	133.19	220.99	47.58	51.50	262.25	14.04
57	82.70	84.19	18.98	1.89	23.26	-10.23	-11.85	155.23	251.01	-24.75	47.84	252.50	16.26
58	83.24	80.61	19.37	1.60	21.72	-11.97	-11.97	177.95	282.97	-90.39	44.20	242.93	18.93
59	83.88	76.65	20.14	1.33	20.25	-13.66	-12.11	200.83	316.12	-143.78	40.41	233.75	21.81
60	84.63	72.32	21.20	1.08	18.84	-15.31	-12.25	223.08	349.13	-179.39	36.52	225.10	24.72
61	85.49	67.65	22.42	0.87	17.49	-16.91	-12.42	243.61	380.21	-192.15	32.70	217.06	27.56
62	86.46	62.67	23.64	0.67	16.18	-18.48	-12.60	261.14	407.25	-178.37	29.16	209.65	30.33
63	87.52	57.45	24.68	0.49	14.92	-20.00	-12.79	274.44	428.16	-137.14	26.08	202.81	32.98
64	88.67	52.11	25.38	0.34	13.70	-21.48	-12.99	282.54	441.16	-71.37	23.58	196.44	35.19
65	89.86	46.74	25.60	0.19	12.52	-22.92	-13.20	285.01	445.02	11.84	21.64	190.38	36.29
66	91.09	41.46	25.26	0.06	11.37	-24.32	-13.40	281.97	439.14	102.26	20.10	184.42	35.30
67	92.31	36.39	24.36	-0.06	10.26	-25.69	-13.59	273.94	423.37	188.54	18.74	178.35	31.31
68	93.50	31.62	22.94	-0.18	9.18	-27.01	-13.73	261.49	397.94	259.88	17.41	171.91	24.25
69	94.61	27.24	21.11	-0.28	8.13	-28.29	-13.82	245.04	363.94	307.57	15.95	164.89	15.21
70	95.63	23.31	19.03	-0.38	7.13	-29.51	-13.85	225.20	323.84	327.28	14.17	157.10	5.92
71	96.53	19.87	16.87	-0.46	6.19	-30.68	-13.83	203.06	280.92	321.11	11.93	148.42	-2.29
72	97.28	16.93	14.79	-0.53	5.29	-31.78	-13.76	180.05	238.17	296.67	9.19	138.76	-8.80
73	97.88	14.47	12.88	-0.58	4.46	-32.82	-13.65	157.51	197.78	263.90	6.04	128.06	-13.46
74	98.35	12.47	11.16	-0.61	3.70	-33.77	-13.53	136.54	161.21	232.00	2.67	116.31	-16.36
75	98.71	10.86	9.63	-0.61	3.02	-34.64	-13.40	117.99	129.40	207.25	-0.71	103.56	-17.70
76	98.98	9.57	8.22	-0.60	2.42	-35.41	-13.27	102.48	102.98	192.50	-3.85	89.91	-17.74
77	99.18	8.52	6.87	-0.56	1.90	-36.07	-13.15	90.39	82.35	188.82	-6.51	75.52	-16.88
78	99.33	7.62	5.49	-0.51	1.48	-36.62	-13.03	81.83	67.50	196.86	-8.60	60.57	-15.69
79	99.46	6.78	4.01	-0.45	1.16	-37.04	-12.92	76.63	58.06	215.74	-10.17	45.24	-14.82
80	99.57	5.92	2.35	-0.38	0.93	-37.34	-12.82	74.22	53.31	241.28	-11.32	29.79	-14.79
81	99.69	5.01	0.49	-0.31	0.80	-37.52	-12.71	73.62	52.28	266.77	-12.13	14.54	-15.89
82	99.82	4.01	-1.54	-0.23	0.76	-37.56	-12.60	73.67	53.87	285.31	-12.75	-0.14	-17.86
83	99.97	2.91	-3.66	-0.15	0.81	-37.49	-12.47	73.16	57.05	291.26	-13.34	-13.86	-19.88
84	100.16	1.72	-5.76	-0.06	0.94	-37.30	-12.33	70.66	60.45	281.09	-13.93	-26.28	-21.21
85	100.38	0.48	-7.71	0.02	1.15	-37.00	-12.19	64.86	61.98	254.07	-14.40	-37.11	-21.78
86	100.62	-0.75	-9.41	0.12	1.42	-36.59	-12.05	55.55	59.79	211.86	-14.58	-46.11	-21.79
87	100.84	-1.88	-10.74	0.21	1.73	-36.07	-11.91	44.03	53.71	157.63	-14.30	-53.12	-21.39
88	101.02	-2.85	-11.65	0.30	2.08	-35.44	-11.78	32.29	45.21	95.92	-13.29	-58.05	-20.84
89	101.16	-3.65	-12.11	0.38	2.46	-34.71	-11.65	21.96	36.17	32.57	-11.16	-60.86	-20.52
90	101.24	-4.28	-12.11	0.44	2.84	-33.88	-11.53	13.71	27.98	-26.10	-7.72	-61.62	-20.44
91	101.28	-4.74	-11.73	0.47	3.23	-32.96	-11.40	7.39	21.28	-74.49	-3.20	-60.51	-20.07
92	101.29	-5.07	-11.06	0.48	3.59	-31.95	-11.28	2.55	16.14	-109.06	1.94	-57.78	-18.90
93	101.27	-5.29	-10.19	0.45	3.94	-30.85	-11.16	-1.27	12.36	-129.25	7.23	-53.71	-16.85
94	101.23	-5.44	-9.22	0.39	4.25	-29.66	-11.06	-4.39	9.66	-137.05	12.24	-48.55	-14.23
95	101.17	-5.53	-8.23	0.29	4.53	-28.38	-10.98	-6.99	7.74	-135.11	16.68	-42.51	-11.26
96	101.09	-5.59	-7.29	0.17	4.77	-27.02	-10.92	-9.10	6.28	-125.45	20.43	-35.71	-7.91
97	101.01	-5.64	-6.43	0.03	4.97	-25.60	-10.89	-10.46	4.89	-110.04	23.51	-28.25	-4.64
98	100.91	-5.68	-5.70	-0.13	5.12	-24.13	-10.87	-10.35	3.25	-91.57	25.91	-20.20	-2.95
99	100.83	-5.72	-5.11	-0.30	5.22	-22.63	-10.85	-7.74	1.09	-73.68	27.49	-11.68	-5.34
100	100.79	-5.74	-4.64	-0.48	5.26	-21.13	-10.81	-1.55	-1.74	-60.55	28.17	-2.82	-14.56
101	100.80	-5.75	-4.24	-0.66	5.25	-19.64	-10.68	8.47	-5.35	-55.13	27.88	6.20	-31.71
