	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d	Jumper 4.c3d
9	68.79	104.68	-6.43	27.15	77.93	26.88	-4.95	232.63	-26.31	132.06	45.52	62.22	67.93
10	69.09	104.33	-7.00	26.95	77.65	26.59	-5.23	225.53	-25.87	119.19	48.86	69.28	68.18
11	69.38	103.99	-7.52	26.72	77.34	26.29	-5.51	218.24	-25.33	104.37	52.13	76.61	68.35
12	69.64	103.67	-7.95	26.49	76.99	25.99	-5.79	210.85	-24.71	87.78	55.25	84.19	68.41
13	69.88	103.36	-8.31	26.24	76.59	25.68	-6.06	203.42	-24.07	69.48	58.22	91.96	68.35
14	70.11	103.06	-8.58	25.97	76.17	25.37	-6.33	196.03	-23.44	49.53	61.07	99.90	68.16
15	70.33	102.77	-8.76	25.70	75.70	25.05	-6.60	188.79	-22.86	28.13	63.88	107.99	67.82
16	70.53	102.48	-8.83	25.41	75.19	24.73	-6.86	181.76	-22.37	5.70	66.72	116.19	67.34
17	70.73	102.20	-8.81	25.12	74.64	24.41	-7.12	175.04	-22.01	-17.19	69.62	124.46	66.70
18	70.94	101.92	-8.69	24.81	74.06	24.08	-7.38	168.68	-21.79	-39.87	72.60	132.73	65.92
19	71.14	101.64	-8.47	24.49	73.43	23.74	-7.63	162.74	-21.73	-61.68	75.67	140.97	64.99
20	71.36	101.36	-8.15	24.15	72.77	23.39	-7.87	157.26	-21.83	-81.89	78.82	149.14	63.90
21	71.59	101.07	-7.75	23.81	72.06	23.04	-8.10	152.28	-22.06	-99.89	82.06	157.23	62.63
22	71.84	100.76	-7.27	23.45	71.32	22.67	-8.33	147.80	-22.41	-115.16	85.33	165.28	61.17
23	72.11	100.45	-6.74	23.08	70.54	22.29	-8.55	143.81	-22.83	-127.37	88.57	173.34	59.52
24	72.39	100.12	-6.15	22.69	69.73	21.89	-8.76	140.24	-23.28	-136.36	91.72	181.46	57.72
25	72.70	99.77	-5.54	22.30	68.88	21.48	-8.97	136.96	-23.70	-142.05	94.78	189.69	55.86
26	73.03	99.41	-4.90	21.89	67.99	21.05	-9.16	133.81	-24.04	-144.43	97.74	198.09	54.04
27	73.38	99.03	-4.27	21.48	67.06	20.61	-9.35	130.62	-24.26	-143.61	100.59	206.70	52.39
28	73.74	98.63	-3.64	21.05	66.10	20.14	-9.53	127.22	-24.31	-139.80	103.30	215.58	50.97
29	74.12	98.21	-3.04	20.61	65.10	19.65	-9.71	123.47	-24.17	-133.33	105.79	224.78	49.81
30	74.50	97.78	-2.47	20.17	64.06	19.13	-9.88	119.26	-23.82	-124.67	108.00	234.35	48.91
31	74.89	97.35	-1.94	19.72	62.98	18.57	-10.05	114.55	-23.28	-114.34	109.90	244.33	48.23
32	75.29	96.90	-1.46	19.26	61.86	17.99	-10.21	109.30	-22.58	-102.85	111.52	254.77	47.71
33	75.68	96.45	-1.03	18.79	60.69	17.36	-10.38	103.56	-21.78	-90.70	112.90	265.69	47.26
34	76.06	96.01	-0.66	18.32	59.47	16.68	-10.55	97.38	-20.96	-78.31	114.12	277.08	46.81
35	76.43	95.56	-0.34	17.85	58.21	15.95	-10.71	90.89	-20.22	-66.03	115.22	288.94	46.27
36	76.78	95.12	-0.08	17.37	56.89	15.15	-10.87	84.23	-19.67	-54.12	116.25	301.20	45.55
37	77.12	94.70	0.14	16.88	55.53	14.28	-11.04	77.61	-19.45	-42.77	117.25	313.76	44.55
38	77.43	94.28	0.30	16.39	54.10	13.33	-11.19	71.23	-19.67	-32.10	118.20	326.50	43.19
39	77.72	93.87	0.42	15.90	52.63	12.29	-11.35	65.33	-20.48	-22.21	119.09	339.26	41.40
40	77.98	93.46	0.50	15.40	51.10	11.16	-11.49	60.12	-21.98	-13.27	119.89	351.92	39.14
41	78.22	93.06	0.54	14.90	49.52	9.92	-11.63	55.81	-24.29	-5.55	120.62	364.35	36.43
42	78.44	92.65	0.55	14.39	47.88	8.57	-11.75	52.54	-27.49	0.63	121.31	376.50	33.29
43	78.63	92.23	0.54	13.88	46.20	7.12	-11.86	50.43	-31.64	4.97	122.02	388.33	29.82
44	78.80	91.79	0.51	13.37	44.46	5.55	-11.96	49.56	-36.79	7.29	122.81	399.82	26.12
45	78.96	91.32	0.47	12.84	42.68	3.87	-12.04	49.95	-42.96	7.55	123.73	410.93	22.31
46	79.11	90.81	0.45	12.32	40.84	2.09	-12.10	51.60	-50.11	5.86	124.81	421.63	18.52
47	79.25	90.25	0.43	11.78	38.97	0.19	-12.14	54.47	-58.20	2.41	126.05	431.84	14.91
48	79.40	89.62	0.43	11.24	37.05	-1.80	-12.17	58.51	-67.14	-2.60	127.42	441.49	11.60
49	79.55	88.91	0.46	10.69	35.08	-3.89	-12.18	63.65	-76.79	-8.93	128.82	450.42	8.71
50	79.72	88.11	0.51	10.14	33.08	-6.06	-12.18	69.85	-87.04	-16.31	130.09	458.45	6.32
51	79.91	87.22	0.60	9.57	31.05	-8.31	-12.17	77.01	-97.71	-24.40	131.06	465.30	4.50
52	80.12	86.21	0.73	9.01	28.99	-10.62	-12.16	85.05	-108.66	-32.78	131.54	470.64	3.26
53	80.36	85.10	0.89	8.44	26.92	-12.98	-12.14	93.87	-119.74	-40.95	131.35	474.08	2.62
54	80.63	83.86	1.08	7.87	24.83	-15.38	-12.11	103.34	-130.79	-48.44	130.29	475.20	2.54
55	80.94	82.49	1.30	7.31	22.75	-17.79	-12.09	113.32	-141.63	-54.80	128.22	473.58	3.01
56	81.29	81.00	1.55	6.76	20.69	-20.20	-12.07	123.64	-152.03	-59.73	124.97	468.80	3.99
57	81.68	79.37	1.82	6.23	18.66	-22.58	-12.06	134.12	-161.75	-63.03	120.44	460.53	5.49
58	82.11	77.61	2.10	5.72	16.68	-24.92	-12.05	144.53	-170.46	-64.67	114.58	448.53	7.49
59	82.57	75.72	2.38	5.24	14.77	-27.18	-12.06	154.63	-177.76	-64.75	107.43	432.72	10.02
60	83.08	73.69	2.66	4.79	12.94	-29.34	-12.07	164.18	-183.18	-63.45	99.11	413.16	13.12
61	83.61	71.52	2.93	4.38	11.22	-31.37	-12.10	172.97	-186.21	-61.01	89.85	390.10	16.85
62	84.17	69.22	3.19	4.01	9.61	-33.26	-12.15	180.78	-186.31	-57.67	79.95	363.91	21.24
63	84.76	66.78	3.43	3.69	8.13	-34.99	-12.21	187.43	-183.01	-53.66	69.74	335.15	26.32
64	85.36	64.22	3.66	3.41	6.78	-36.54	-12.30	192.80	-175.91	-49.17	59.56	304.48	32.12
65	85.97	61.53	3.86	3.17	5.58	-37.90	-12.41	196.77	-164.77	-44.40	49.67	272.63	38.59
66	86.60	58.73	4.05	2.98	4.51	-39.06	-12.55	199.34	-149.57	-39.53	40.24	240.38	45.66
67	87.22	55.83	4.21	2.83	3.59	-40.04	-12.71	200.57	-130.54	-34.70	31.45	208.47	53.10
68	87.84	52.84	4.35	2.71	2.80	-40.82	-12.91	200.67	-108.13	-29.98	23.41	177.58	60.62
69	88.45	49.77	4.47	2.63	2.13	-41.43	-13.14	199.92	-83.06	-25.32	16.27	148.34	67.70
70	89.04	46.64	4.57	2.57	1.59	-41.87	-13.39	198.69	-56.20	-20.53	10.14	121.22	73.80
71	89.62	43.47	4.64	2.54	1.15	-42.17	-13.67	197.33	-28.56	-15.28	5.09	96.60	78.36
72	90.17	40.27	4.70	2.53	0.81	-42.33	-13.96	196.06	-1.21	-9.15	1.07	74.70	80.98
73	90.69	37.07	4.72	2.54	0.55	-42.38	-14.26	195.03	24.81	-1.68	-2.02	55.63	81.42
74	91.18	33.90	4.71	2.55	0.36	-42.34	-14.56	194.26	48.63	7.46	-4.35	39.37	79.62
75	91.63	30.77	4.65	2.58	0.23	-42.21	-14.84	193.83	69.56	18.37	-6.06	25.81	75.50
76	92.06	27.71	4.55	2.61	0.15	-42.02	-15.11	193.77	87.10	30.94	-7.24	14.78	69.10
77	92.46	24.74	4.38	2.64	0.11	-41.77	-15.35	193.97	100.99	44.91	-7.94	6.08	60.75
78	92.84	21.88	4.15	2.68	0.10	-41.48	-15.56	194.11	111.29	59.92	-8.25	-0.58	51.20
79	93.21	19.14	3.86	2.72	0.11	-41.16	-15.73	193.65	118.40	75.60	-8.25	-5.46	41.51
80	93.58	16.52	3.50	2.76	0.14	-40.81	-15.87	192.03	123.10	91.49	-8.06	-8.87	32.63
81	93.95	14.02	3.07	2.79	0.18	-40.45	-15.97	188.88	126.20	107.13	-7.81	-11.11	25.00
82	94.34	11.65	2.57	2.83	0.23	-40.08	-16.05	184.02	128.31	122.06	-7.62	-12.45	18.46
83	94.75	9.41	2.00	2.86	0.29	-39.70	-16.11	177.51	129.61	135.90	-7.57	-13.12	12.38
84	95.19	7.28	1.37	2.89	0.34	-39.32	-16.15	169.49	129.96	148.22	-7.70	-13.33	6.03
85	95.67	5.29	0.69	2.93	0.40	-38.94	-16.16	160.17	128.99	158.51	-8.02	-13.24	-1.23
86	96.20	3.45	-0.04	2.96	0.46	-38.56	-16.14	149.69	126.30	166.22	-8.50	-12.95	-9.58
87	96.75	1.76	-0.80	3.00	0.52	-38.19	-16.08	138.06	121.59	171.07	-9.14	-12.56	-18.68
88	97.32	0.24	-1.58	3.04	0.58	-37.83	-15.98	125.20	114.79	173.14	-9.96	-12.12	-27.73
89	97.88	-1.08	-2.37	3.09	0.64	-37.49	-15.84	111.20	106.07	172.84	-10.99	-11.66	-35.85
90	98.42	-2.22	-3.16	3.14	0.69	-37.16	-15.67	96.36	95.84	170.58	-12.29	-11.20	-42.42
91	98.91	-3.16	-3.94	3.19	0.75	-36.85	-15.47	81.24	84.66	166.67	-13.89	-10.75	-47.33
92	99.35	-3.93	-4.71	3.26	0.80	-36.56	-15.26	66.33	73.09	161.27	-15.78	-10.33	-50.69
93	99.71	-4.53	-5.45	3.33	0.85	-36.29	-15.03	51.98	61.67	154.47	-17.90	-9.94	-52.75
94	100.01	-4.99	-6.17	3.41	0.90	-36.05	-14.79	38.36	50.78	146.30	-20.12	-9.57	-53.64
95	100.22	-5.32	-6.85	3.51	0.95	-35.83	-14.55	25.52	40.68	136.75	-22.32	-9.21	-53.52
96	100.36	-5.55	-7.49	3.61	1.00	-35.62	-14.31	13.48	31.55	125.70	-24.36	-8.84	-52.52
97	100.43	-5.69	-8.08	3.72	1.04	-35.44	-14.07	2.25	23.49	113.06	-26.11	-8.41	-50.79
98	100.43	-5.77	-8.60	3.84	1.08	-35.28	-13.84	-8.15	16.56	98.77	-27.46	-7.92	-48.41
99	100.37	-5.79	-9.05	3.96	1.12	-35.14	-13.61	-17.71	10.77	82.87	-28.31	-7.32	-45.40
100	100.24	-5.77	-9.42	4.09	1.15	-35.01	-13.40	-26.40	6.09	65.53	-28.57	-6.61	-41.72
101	100.07	-5.72	-9.71	4.21	1.18	-34.90	-13.21	-34.14	2.48	46.97	-28.22	-5.77	-37.34
