	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d	Jumper 9.c3d
9	62.16	112.44	8.07	25.54	74.99	31.21	-4.24	156.55	7.28	-330.08	57.73	68.86	71.19
10	62.21	112.22	10.01	25.22	74.56	30.94	-4.57	156.08	9.57	-359.00	60.66	77.73	69.49
11	62.28	111.96	12.09	24.89	74.06	30.64	-4.90	155.39	12.20	-378.95	63.39	86.37	68.05
12	62.37	111.67	14.25	24.54	73.51	30.32	-5.22	154.28	15.09	-388.87	66.01	94.79	66.84
13	62.48	111.35	16.42	24.18	72.90	29.97	-5.53	152.58	18.11	-388.69	68.57	103.02	65.80
14	62.61	111.00	18.54	23.81	72.23	29.59	-5.84	150.23	21.14	-379.13	71.10	111.14	64.82
15	62.76	110.65	20.58	23.42	71.51	29.17	-6.15	147.18	24.07	-361.52	73.64	119.21	63.76
16	62.93	110.28	22.49	23.02	70.73	28.73	-6.44	143.43	26.78	-337.50	76.22	127.28	62.54
17	63.10	109.91	24.24	22.61	69.90	28.26	-6.74	138.99	29.19	-308.79	78.86	135.38	61.10
18	63.29	109.53	25.82	22.18	69.02	27.75	-7.02	133.88	31.25	-276.96	81.52	143.51	59.44
19	63.48	109.16	27.21	21.74	68.09	27.20	-7.29	128.15	32.93	-243.37	84.20	151.69	57.60
20	63.67	108.78	28.42	21.29	67.11	26.62	-7.56	121.92	34.25	-209.24	86.95	159.94	55.64
21	63.86	108.41	29.44	20.83	66.09	26.00	-7.81	115.31	35.23	-175.72	89.80	168.29	53.63
22	64.04	108.04	30.29	20.35	65.03	25.33	-8.04	108.52	35.90	-143.84	92.78	176.74	51.62
23	64.22	107.67	30.98	19.85	63.92	24.62	-8.27	101.70	36.29	-114.32	95.83	185.28	49.70
24	64.38	107.31	31.51	19.34	62.78	23.87	-8.48	94.99	36.41	-87.45	98.84	193.92	47.93
25	64.55	106.95	31.90	18.82	61.61	23.07	-8.68	88.49	36.26	-63.06	101.69	202.64	46.41
26	64.70	106.59	32.17	18.29	60.39	22.21	-8.87	82.26	35.85	-40.77	104.27	211.46	45.24
27	64.85	106.25	32.33	17.74	59.14	21.31	-9.05	76.30	35.22	-20.22	106.42	220.34	44.50
28	65.00	105.91	32.38	17.19	57.85	20.35	-9.22	70.62	34.42	-1.27	108.00	229.27	44.25
29	65.15	105.58	32.34	16.63	56.53	19.34	-9.39	65.18	33.50	15.98	108.92	238.26	44.48
30	65.30	105.25	32.21	16.07	55.16	18.26	-9.56	59.97	32.56	31.10	109.18	247.35	45.16
31	65.45	104.94	32.01	15.51	53.75	17.10	-9.73	54.98	31.69	43.51	108.92	256.65	46.19
32	65.61	104.62	31.75	14.95	52.29	15.87	-9.90	50.23	30.99	52.71	108.26	266.25	47.41
33	65.78	104.31	31.44	14.40	50.79	14.55	-10.08	45.73	30.58	58.64	107.24	276.23	48.66
34	65.96	104.00	31.12	13.85	49.24	13.14	-10.26	41.50	30.59	61.75	105.82	286.62	49.75
35	66.13	103.67	30.78	13.31	47.63	11.62	-10.44	37.55	31.16	62.97	104.00	297.39	50.53
36	66.31	103.33	30.45	12.78	45.97	9.98	-10.62	33.96	32.48	63.42	101.84	308.52	50.83
37	66.49	102.96	30.11	12.26	44.25	8.23	-10.81	30.83	34.73	64.30	99.52	319.96	50.50
38	66.67	102.57	29.76	11.74	42.48	6.35	-10.99	28.28	38.11	67.05	97.22	331.68	49.43
39	66.84	102.13	29.39	11.24	40.64	4.35	-11.18	26.45	42.83	73.16	95.11	343.59	47.56
40	67.00	101.65	28.98	10.74	38.75	2.22	-11.35	25.43	49.15	83.94	93.31	355.56	44.92
41	67.16	101.11	28.51	10.25	36.80	-0.04	-11.52	25.34	57.35	100.07	91.83	367.40	41.59
42	67.31	100.50	27.93	9.77	34.79	-2.42	-11.67	26.28	67.73	121.45	90.64	378.88	37.70
43	67.46	99.80	27.23	9.29	32.72	-4.91	-11.81	28.36	80.54	147.19	89.58	389.72	33.42
44	67.61	99.01	26.39	8.81	30.60	-7.50	-11.94	31.65	96.02	175.73	88.47	399.54	28.93
45	67.76	98.12	25.39	8.34	28.44	-10.18	-12.05	36.24	114.30	204.99	87.15	407.88	24.43
46	67.92	97.10	24.23	7.88	26.25	-12.93	-12.14	42.14	135.43	232.64	85.57	414.20	20.09
47	68.09	95.95	22.93	7.42	24.03	-15.72	-12.21	49.33	159.33	256.41	83.73	417.90	16.08
48	68.28	94.65	21.52	6.98	21.81	-18.52	-12.27	57.70	185.80	274.26	81.61	418.37	12.52
49	68.49	93.19	20.03	6.55	19.60	-21.29	-12.32	67.14	214.50	284.56	79.11	414.99	9.46
50	68.74	91.55	18.50	6.13	17.42	-23.99	-12.35	77.49	244.98	286.15	76.10	407.26	6.92
51	69.01	89.73	16.99	5.74	15.31	-26.59	-12.37	88.57	276.74	278.47	72.41	394.84	4.89
52	69.33	87.71	15.54	5.36	13.28	-29.03	-12.38	100.18	309.25	261.67	67.91	377.65	3.31
53	69.69	85.48	14.20	5.01	11.37	-31.29	-12.38	112.14	341.99	236.53	62.59	355.89	2.09
54	70.10	83.04	13.02	4.69	9.59	-33.33	-12.37	124.29	374.55	204.44	56.61	330.07	1.16
55	70.54	80.40	12.02	4.41	7.96	-35.12	-12.35	136.52	406.63	167.29	50.30	300.97	0.42
56	71.04	77.55	11.23	4.16	6.50	-36.64	-12.33	148.74	438.01	127.42	43.99	269.59	-0.24
57	71.57	74.52	10.66	3.94	5.22	-37.89	-12.30	160.92	468.47	87.45	37.96	237.00	-0.91
58	72.15	71.29	10.30	3.76	4.12	-38.86	-12.26	172.97	497.67	50.01	32.41	204.30	-1.65
59	72.78	67.90	10.14	3.60	3.19	-39.57	-12.22	184.78	525.13	17.47	27.51	172.53	-2.49
60	73.44	64.33	10.13	3.47	2.43	-40.03	-12.17	196.14	550.24	-8.06	23.37	142.56	-3.41
61	74.15	60.62	10.23	3.35	1.82	-40.28	-12.11	206.87	572.21	-24.76	20.08	115.09	-4.38
62	74.88	56.77	10.40	3.26	1.33	-40.33	-12.04	216.77	590.06	-31.28	17.65	90.65	-5.38
63	75.63	52.80	10.58	3.17	0.97	-40.23	-11.97	225.70	602.70	-27.01	16.06	69.53	-6.43
64	76.40	48.74	10.70	3.09	0.70	-39.99	-11.89	233.55	609.07	-12.35	15.21	51.83	-7.55
65	77.15	44.63	10.72	3.01	0.50	-39.66	-11.81	240.22	608.29	11.35	14.97	37.46	-8.78
66	77.88	40.50	10.59	2.93	0.36	-39.26	-11.73	245.61	599.82	42.04	15.14	26.21	-10.11
67	78.57	36.38	10.27	2.84	0.26	-38.81	-11.64	249.61	583.49	77.29	15.48	17.74	-11.54
68	79.19	32.32	9.76	2.76	0.20	-38.34	-11.55	252.07	559.56	114.58	15.73	11.67	-13.07
69	79.72	28.34	9.04	2.67	0.15	-37.86	-11.45	252.76	528.72	151.41	15.60	7.55	-14.72
70	80.15	24.50	8.12	2.59	0.12	-37.38	-11.35	251.25	492.04	185.55	14.73	4.90	-16.46
71	80.48	20.81	7.03	2.51	0.09	-36.91	-11.25	246.92	450.84	215.18	12.73	3.22	-18.19
72	80.71	17.32	5.78	2.45	0.08	-36.46	-11.14	238.91	406.50	239.03	9.39	2.09	-19.82
73	80.84	14.07	4.41	2.41	0.07	-36.03	-11.03	226.20	360.26	256.39	4.84	1.28	-21.27
74	80.91	11.08	2.96	2.39	0.07	-35.62	-10.92	207.73	312.86	267.19	-0.32	0.72	-22.45
75	80.94	8.42	1.47	2.41	0.08	-35.23	-10.80	182.55	264.17	272.02	-5.40	0.43	-23.30
76	80.96	6.14	-0.05	2.45	0.09	-34.89	-10.69	150.48	213.17	271.78	-9.92	0.33	-23.76
77	80.97	4.31	-1.56	2.51	0.11	-34.59	-10.57	112.64	158.84	267.38	-13.74	0.21	-23.76
78	80.96	2.98	-3.04	2.59	0.13	-34.35	-10.46	71.72	101.33	259.38	-16.91	-0.16	-23.30
79	80.94	2.18	-4.48	2.69	0.16	-34.16	-10.35	31.40	42.92	248.15	-19.44	-0.95	-22.49
80	80.90	1.92	-5.86	2.80	0.20	-34.01	-10.24	-4.63	-12.53	234.34	-21.31	-2.25	-21.55
81	80.85	2.14	-7.15	2.92	0.25	-33.91	-10.14	-33.34	-60.39	218.75	-22.54	-4.04	-20.65
82	80.82	2.77	-8.37	3.04	0.31	-33.85	-10.04	-52.74	-96.27	202.17	-23.14	-6.24	-19.83
83	80.82	3.69	-9.49	3.17	0.38	-33.81	-9.93	-62.18	-117.17	185.04	-23.12	-8.72	-18.94
84	80.88	4.74	-10.53	3.29	0.47	-33.79	-9.83	-62.60	-122.70	167.56	-22.50	-11.27	-17.82
85	80.99	5.78	-11.46	3.41	0.56	-33.78	-9.74	-56.07	-114.75	149.52	-21.31	-13.67	-16.42
86	81.12	6.70	-12.29	3.52	0.65	-33.78	-9.65	-45.00	-96.46	130.29	-19.61	-15.68	-14.78
87	81.27	7.44	-13.01	3.63	0.76	-33.79	-9.56	-31.46	-71.10	109.20	-17.53	-17.12	-13.02
88	81.43	7.94	-13.59	3.72	0.86	-33.80	-9.49	-16.94	-41.57	85.92	-15.28	-17.85	-11.22
89	81.59	8.19	-14.03	3.80	0.95	-33.82	-9.42	-2.40	-10.29	60.69	-13.13	-17.84	-9.44
90	81.76	8.17	-14.31	3.87	1.04	-33.83	-9.37	11.45	20.73	33.91	-11.29	-17.11	-7.75
91	81.94	7.91	-14.44	3.93	1.12	-33.85	-9.32	24.01	49.77	5.91	-9.86	-15.75	-6.25
92	82.14	7.42	-14.39	3.99	1.18	-33.88	-9.29	34.60	75.19	-22.90	-8.85	-13.85	-5.06
93	82.38	6.72	-14.17	4.04	1.23	-33.93	-9.26	42.32	95.23	-51.45	-8.21	-11.55	-4.27
94	82.67	5.87	-13.78	4.10	1.27	-33.99	-9.24	46.14	108.08	-77.60	-7.89	-8.96	-3.96
95	83.00	4.95	-13.26	4.15	1.28	-34.08	-9.22	45.32	112.34	-98.83	-7.89	-6.21	-4.19
96	83.38	4.03	-12.63	4.20	1.28	-34.19	-9.20	39.85	107.62	-113.14	-8.31	-3.39	-4.98
97	83.79	3.22	-11.94	4.25	1.27	-34.33	-9.18	30.67	95.01	-119.71	-9.32	-0.63	-6.30
98	84.20	2.59	-11.24	4.31	1.24	-34.50	-9.15	19.41	76.80	-118.72	-11.05	1.92	-8.04
99	84.59	2.17	-10.57	4.39	1.20	-34.69	-9.12	7.83	55.71	-110.74	-13.47	4.11	-10.07
100	84.96	1.98	-9.97	4.47	1.14	-34.91	-9.07	-2.66	34.11	-96.48	-16.44	5.79	-12.18
101	85.31	1.99	-9.47	4.58	1.08	-35.16	-9.02	-11.11	13.76	-76.97	-19.66	6.83	-14.20
