	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d	Free 7.c3d
9	72.89	111.18	24.07	34.69	92.31	31.47	0.32	104.22	-10.44	-504.54	70.67	54.53	102.10
10	72.97	111.35	27.25	34.31	91.99	31.38	-0.22	104.47	-11.20	-511.49	73.63	62.11	99.13
11	73.06	111.51	30.34	33.92	91.62	31.29	-0.74	104.90	-11.57	-500.14	76.56	69.41	96.09
12	73.17	111.66	33.21	33.51	91.21	31.18	-1.25	105.48	-11.45	-471.93	79.34	76.46	92.96
13	73.28	111.80	35.80	33.09	90.77	31.07	-1.73	106.16	-10.72	-430.32	81.87	83.25	89.77
14	73.41	111.92	38.05	32.66	90.29	30.95	-2.20	106.90	-9.28	-379.92	84.12	89.82	86.55
15	73.53	112.02	39.97	32.21	89.78	30.83	-2.64	107.66	-7.09	-325.47	86.18	96.21	83.34
16	73.66	112.09	41.56	31.76	89.23	30.70	-3.07	108.36	-4.17	-270.86	88.15	102.46	80.15
17	73.79	112.13	42.85	31.29	88.65	30.56	-3.47	108.91	-0.67	-218.74	90.06	108.60	77.00
18	73.92	112.15	43.86	30.81	88.04	30.43	-3.86	109.20	3.21	-170.65	91.86	114.66	73.87
19	74.04	112.13	44.64	30.33	87.40	30.29	-4.23	109.13	7.21	-127.19	93.47	120.62	70.75
20	74.16	112.09	45.21	29.84	86.73	30.14	-4.58	108.59	11.07	-88.31	94.84	126.49	67.61
21	74.28	112.02	45.59	29.34	86.03	29.99	-4.91	107.46	14.55	-53.51	96.04	132.29	64.47
22	74.39	111.94	45.80	28.83	85.30	29.84	-5.23	105.69	17.50	-22.06	97.11	138.02	61.35
23	74.49	111.83	45.86	28.32	84.55	29.68	-5.54	103.26	19.82	6.82	98.12	143.71	58.32
24	74.59	111.72	45.78	27.80	83.76	29.50	-5.83	100.19	21.48	33.68	99.08	149.38	55.41
25	74.68	111.61	45.56	27.28	82.95	29.30	-6.12	96.51	22.53	58.72	100.04	155.06	52.72
26	74.76	111.48	45.22	26.75	82.11	29.09	-6.39	92.31	23.07	81.67	101.05	160.80	50.28
27	74.83	111.36	44.75	26.22	81.24	28.86	-6.65	87.69	23.21	101.97	102.21	166.61	48.14
28	74.90	111.24	44.17	25.67	80.34	28.61	-6.90	82.79	23.12	119.06	103.69	172.51	46.33
29	74.95	111.12	43.50	25.12	79.41	28.33	-7.14	77.73	22.93	132.75	105.68	178.52	44.85
30	75.01	111.00	42.76	24.56	78.45	28.02	-7.38	72.59	22.70	143.32	108.34	184.63	43.72
31	75.07	110.88	41.96	23.98	77.46	27.69	-7.61	67.42	22.49	151.31	111.67	190.85	42.95
32	75.12	110.76	41.11	23.38	76.43	27.32	-7.84	62.25	22.32	157.30	115.53	197.15	42.50
33	75.18	110.64	40.22	22.76	75.37	26.93	-8.07	57.10	22.21	161.92	119.68	203.52	42.34
34	75.25	110.52	39.30	22.11	74.27	26.51	-8.29	51.98	22.15	165.92	123.85	209.92	42.40
35	75.32	110.41	38.36	21.44	73.14	26.05	-8.51	46.87	22.12	170.16	127.86	216.36	42.64
36	75.39	110.29	37.40	20.75	71.97	25.56	-8.73	41.77	22.06	175.73	131.60	222.80	43.05
37	75.48	110.16	36.41	20.04	70.75	25.03	-8.95	36.68	21.90	183.98	135.03	229.27	43.64
38	75.57	110.04	35.38	19.32	69.50	24.46	-9.17	31.64	21.54	196.18	138.13	235.78	44.43
39	75.66	109.91	34.28	18.57	68.21	23.85	-9.40	26.73	20.93	212.95	140.87	242.34	45.44
40	75.76	109.78	33.10	17.82	66.88	23.20	-9.63	22.04	20.00	233.68	143.18	248.97	46.62
41	75.87	109.66	31.82	17.05	65.50	22.50	-9.87	17.68	18.72	256.59	145.05	255.64	47.89
42	75.98	109.53	30.44	16.28	64.09	21.75	-10.11	13.73	17.05	279.29	146.52	262.35	49.15
43	76.09	109.40	28.94	15.50	62.63	20.96	-10.36	10.24	14.97	299.34	147.62	269.02	50.27
44	76.21	109.28	27.36	14.72	61.14	20.11	-10.62	7.18	12.46	314.92	148.34	275.59	51.17
45	76.34	109.15	25.71	13.93	59.61	19.21	-10.87	4.53	9.55	324.97	148.55	281.94	51.75
46	76.47	109.02	24.01	13.15	58.04	18.26	-11.13	2.24	6.28	329.11	148.10	287.96	51.94
47	76.61	108.89	22.30	12.37	56.44	17.26	-11.39	0.27	2.70	327.52	146.95	293.53	51.69
48	76.74	108.74	20.61	11.60	54.82	16.21	-11.64	-1.40	-1.13	320.60	145.08	298.54	50.95
49	76.88	108.58	18.97	10.85	53.17	15.10	-11.89	-2.77	-5.14	308.84	142.53	302.89	49.75
50	77.01	108.39	17.40	10.11	51.50	13.94	-12.13	-3.87	-9.24	292.64	139.27	306.46	48.12
51	77.14	108.17	15.92	9.39	49.82	12.74	-12.36	-4.71	-13.32	272.28	135.27	309.15	46.19
52	77.26	107.90	14.56	8.69	48.14	11.48	-12.58	-5.30	-17.20	248.04	130.54	310.90	44.09
53	77.37	107.57	13.34	8.02	46.45	10.19	-12.79	-5.59	-20.67	220.35	125.22	311.68	41.92
54	77.47	107.19	12.27	7.37	44.77	8.85	-12.99	-5.48	-23.47	189.83	119.60	311.53	39.77
55	77.56	106.73	11.37	6.76	43.10	7.47	-13.18	-4.81	-25.28	157.27	114.03	310.52	37.68
56	77.64	106.18	10.63	6.18	41.44	6.07	-13.36	-3.44	-25.81	123.55	108.82	308.71	35.69
57	77.72	105.55	10.08	5.62	39.81	4.63	-13.54	-1.22	-24.75	89.53	104.15	306.18	33.83
58	77.79	104.82	9.70	5.09	38.19	3.17	-13.71	2.01	-21.77	55.97	100.05	303.00	32.17
59	77.86	103.98	9.50	4.57	36.61	1.69	-13.87	6.40	-16.59	23.47	96.48	299.21	30.74
60	77.93	103.02	9.46	4.08	35.05	0.20	-14.02	12.15	-8.87	-7.47	93.35	294.86	29.54
61	78.02	101.93	9.58	3.60	33.52	-1.31	-14.17	19.40	1.70	-36.23	90.54	289.96	28.60
62	78.12	100.70	9.84	3.13	32.02	-2.82	-14.32	28.30	15.50	-61.94	87.88	284.51	27.91
63	78.24	99.31	10.23	2.68	30.55	-4.33	-14.46	38.95	32.94	-83.57	85.19	278.50	27.47
64	78.40	97.73	10.72	2.24	29.12	-5.84	-14.61	51.37	54.41	-100.28	82.33	271.94	27.27
65	78.59	95.96	11.29	1.82	27.73	-7.34	-14.75	65.48	80.25	-111.65	79.16	264.84	27.29
66	78.83	93.96	11.89	1.42	26.37	-8.82	-14.89	81.14	110.57	-117.92	75.59	257.22	27.50
67	79.12	91.73	12.52	1.03	25.06	-10.28	-15.03	98.09	145.27	-119.81	71.51	249.16	27.84
68	79.47	89.26	13.14	0.67	23.80	-11.71	-15.16	116.07	183.89	-118.30	66.85	240.77	28.25
69	79.88	86.54	13.75	0.34	22.58	-13.11	-15.30	134.76	225.65	-114.40	61.59	232.22	28.64
70	80.35	83.59	14.33	0.03	21.41	-14.48	-15.44	153.79	269.48	-108.97	55.83	223.65	28.96
71	80.88	80.41	14.88	-0.24	20.29	-15.82	-15.57	172.69	314.07	-102.47	49.81	215.24	29.22
72	81.47	77.01	15.39	-0.48	19.21	-17.12	-15.70	191.02	357.94	-94.92	43.79	207.14	29.47
73	82.12	73.40	15.87	-0.69	18.17	-18.39	-15.83	208.33	399.52	-85.97	38.05	199.48	29.81
74	82.81	69.62	16.29	-0.88	17.18	-19.63	-15.95	224.25	437.24	-75.00	32.81	192.37	30.30
75	83.53	65.66	16.65	-1.03	16.22	-20.82	-16.07	238.46	469.58	-61.28	28.26	185.86	31.05
76	84.28	61.56	16.94	-1.17	15.29	-21.99	-16.19	250.67	495.30	-44.29	24.46	179.96	32.19
77	85.04	57.35	17.13	-1.29	14.40	-23.12	-16.32	260.67	513.44	-24.03	21.39	174.58	33.84
78	85.79	53.03	17.20	-1.39	13.53	-24.22	-16.46	268.35	523.35	-1.22	18.97	169.63	36.03
79	86.52	48.64	17.15	-1.48	12.69	-25.29	-16.60	273.72	524.70	22.66	17.09	165.01	38.66
80	87.22	44.21	16.98	-1.57	11.87	-26.33	-16.76	276.92	517.42	45.52	15.60	160.58	41.42
81	87.87	39.74	16.69	-1.65	11.07	-27.33	-16.94	278.22	501.70	65.12	14.37	156.21	43.84
82	88.45	35.28	16.31	-1.72	10.29	-28.31	-17.13	277.98	477.98	79.53	13.29	151.74	45.27
83	88.98	30.84	15.86	-1.79	9.53	-29.24	-17.32	276.50	447.01	87.57	12.32	147.05	45.11
84	89.44	26.46	15.39	-1.85	8.80	-30.13	-17.51	273.93	409.96	89.28	11.41	141.99	42.86
85	89.84	22.18	14.92	-1.91	8.09	-30.98	-17.69	270.11	368.36	86.29	10.59	136.46	38.26
86	90.20	18.05	14.47	-1.96	7.41	-31.79	-17.84	264.59	323.75	81.41	9.90	130.39	31.35
87	90.55	14.13	14.04	-2.02	6.76	-32.54	-17.96	256.76	277.76	77.72	9.37	123.69	22.50
88	90.89	10.50	13.63	-2.07	6.15	-33.24	-18.03	245.98	232.24	77.79	8.93	116.31	12.44
89	91.26	7.21	13.19	-2.11	5.58	-33.89	-18.05	231.73	189.41	83.65	8.42	108.22	2.04
90	91.66	4.31	12.70	-2.16	5.04	-34.48	-18.02	213.74	151.15	97.36	7.70	99.45	-8.09
91	92.08	1.81	12.11	-2.20	4.56	-35.00	-17.94	192.35	118.28	120.60	6.71	90.05	-17.60
92	92.52	-0.28	11.35	-2.23	4.12	-35.46	-17.82	168.52	90.64	153.80	5.47	80.15	-26.27
93	92.95	-1.96	10.36	-2.26	3.74	-35.84	-17.66	143.71	67.57	195.25	4.06	69.89	-33.80
94	93.36	-3.28	9.11	-2.28	3.41	-36.15	-17.46	119.42	48.42	241.40	2.52	59.40	-39.82
95	93.72	-4.29	7.57	-2.28	3.13	-36.37	-17.23	96.88	32.62	287.84	0.95	48.85	-44.13
96	94.02	-5.03	5.76	-2.29	2.91	-36.51	-16.99	76.99	19.69	330.07	-0.58	38.41	-46.83
97	94.25	-5.56	3.70	-2.28	2.74	-36.57	-16.73	60.26	9.26	364.02	-1.99	28.23	-48.36
98	94.42	-5.92	1.47	-2.26	2.62	-36.54	-16.47	46.83	1.04	386.42	-3.27	18.45	-49.23
99	94.54	-6.13	-0.86	-2.24	2.55	-36.43	-16.20	36.46	-5.31	395.16	-4.43	9.17	-49.80
100	94.61	-6.23	-3.20	-2.22	2.52	-36.24	-15.93	28.60	-10.16	389.21	-5.49	0.48	-50.01
101	94.66	-6.23	-5.46	-2.19	2.54	-35.96	-15.65	22.59	-13.92	368.66	-6.43	-7.52	-49.61
