	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d	Free 10.c3d
10	76.47	108.20	8.67	17.11	66.78	24.98	-10.66	49.59	4.11	-27.82	136.19	245.67	46.49
11	76.98	107.35	9.33	14.17	60.93	21.68	-11.58	31.07	4.62	-28.23	127.66	261.65	42.12
12	77.41	106.38	9.78	11.45	54.79	17.30	-12.44	15.67	5.29	-6.05	117.79	277.22	40.12
13	77.73	104.89	9.41	8.93	48.36	12.02	-13.28	13.87	5.89	42.63	109.33	293.30	39.52
14	78.08	101.97	8.07	6.61	41.68	6.11	-14.13	34.72	13.86	72.58	100.46	301.36	36.11
15	78.68	96.49	6.59	4.54	35.07	-0.13	-14.83	78.77	43.29	50.25	87.86	291.07	26.28
16	79.71	87.79	6.31	2.80	28.96	-6.31	-15.27	136.79	102.75	-36.74	70.87	263.03	14.38
17	81.29	75.74	8.56	1.47	23.59	-11.98	-15.48	196.68	179.79	-166.77	51.13	228.61	9.36
18	83.57	60.55	13.15	0.58	18.99	-17.01	-15.70	242.24	240.48	-218.68	30.59	198.28	18.37
19	86.23	43.74	16.92	0.05	15.00	-21.60	-16.15	264.78	244.19	-93.35	20.16	175.16	34.12
20	88.27	26.72	16.90	-0.35	11.44	-25.96	-16.76	277.47	200.70	91.96	16.33	158.16	32.69
21	89.65	10.94	13.16	-0.69	8.22	-30.04	-17.03	247.43	132.98	233.88	14.26	138.86	-0.74
22	91.80	1.32	6.83	-0.99	5.51	-33.43	-16.44	116.53	40.99	303.42	11.27	107.86	-46.64
23	93.68	0.92	0.21	-1.16	3.63	-35.53	-15.00	8.73	-81.23	253.43	3.56	63.08	-81.17
24	94.93	6.24	-4.43	-1.11	2.84	-36.00	-13.13	11.36	-102.11	135.38	-7.64	13.55	-83.53
25	95.73	9.83	-6.30	-0.88	3.04	-34.95	-11.57	25.92	-44.47	35.17	-11.21	-23.59	-56.16
26	96.51	10.96	-6.61	-0.74	3.77	-32.75	-10.61	16.21	-13.06	-1.71	1.63	-36.53	-30.52
27	97.48	11.25	-6.37	-0.99	4.50	-29.83	-10.07	7.10	-9.42	-15.76	20.24	-28.18	-15.43
28	98.31	11.35	-5.85	-1.55	4.90	-26.51	-9.76	11.25	-3.05	-24.78	27.95	-10.36	-8.97
29	98.74	11.15	-5.02	-2.17	4.86	-23.13	-9.54	22.50	11.16	-41.74	27.11	9.76	-11.22
30	98.79	10.66	-3.65	-2.68	4.43	-20.15	-9.26	26.40	16.70	-61.27	17.38	25.78	-15.99
31	98.65	10.26	-2.13	-2.91	3.76	-18.00	-8.95	19.40	8.19	-47.02	4.79	32.77	-15.58
32	98.32	10.21	-1.63	-2.96	3.04	-16.83	-8.71	8.60	-3.10	12.00	1.24	31.37	-8.70
33	97.68	10.43	-2.51	-2.98	2.40	-16.42	-8.66	-1.50	-11.36	48.04	0.91	25.36	0.42
34	96.69	10.95	-3.68	-2.98	1.87	-16.45	-8.78	-9.16	-24.19	47.26	-2.40	18.60	5.24
35	95.45	11.87	-4.98	-2.84	1.50	-16.82	-8.95	-8.31	-37.45	66.06	-9.98	11.02	2.20
36	94.08	12.97	-6.93	-2.55	1.33	-17.44	-9.01	3.98	-34.31	94.24	-15.32	2.41	-5.41
37	92.65	13.65	-9.53	-2.20	1.33	-18.23	-8.93	23.56	-9.83	117.53	-16.24	-2.69	-10.86
38	91.14	13.50	-12.59	-1.84	1.40	-19.06	-8.79	41.55	16.85	125.35	-17.39	-3.23	-12.98
39	89.70	12.84	-15.71	-1.44	1.44	-19.74	-8.60	50.35	23.09	120.51	-18.07	-1.34	-16.24
40	88.49	12.39	-18.77	-1.06	1.44	-20.06	-8.29	48.15	4.68	115.55	-14.66	3.01	-23.76
41	87.39	12.64	-21.37	-0.85	1.28	-19.94	-7.77	40.57	-21.66	77.81	-4.37	11.31	-30.85
42	86.08	13.54	-22.45	-0.84	0.94	-19.33	-7.12	38.40	-37.80	8.20	2.45	16.73	-33.59
43	84.32	14.64	-22.22	-0.91	0.56	-18.03	-6.44	49.85	-36.61	-14.18	3.54	14.29	-34.40
44	82.00	15.54	-22.15	-1.03	0.27	-15.99	-5.76	64.19	-26.52	17.74	7.75	10.00	-33.16
45	79.35	16.16	-23.21	-1.30	0.05	-13.37	-5.15	69.20	-18.24	58.46	15.67	9.73	-29.29
46	76.58	16.62	-24.66	-1.72	-0.20	-10.40	-4.66	64.43	-13.79	47.29	19.96	12.31	-23.34
47	73.74	16.97	-25.49	-2.16	-0.52	-7.35	-4.34	53.64	-9.88	11.89	18.56	14.86	-16.15
48	70.84	17.23	-25.07	-2.56	-0.89	-4.71	-4.16	39.58	-7.22	-41.11	15.80	16.06	-12.20
49	67.95	17.46	-23.68	-2.86	-1.21	-3.00	-4.01	23.76	-7.10	-54.34	11.22	12.70	-14.19
50	65.19	17.75	-22.62	-3.04	-1.36	-2.51	-3.77	8.39	-8.15	-16.72	6.33	2.92	-18.22
51	62.77	18.07	-23.01	-3.20	-1.27	-3.28	-3.46	-3.41	-8.01	42.81	9.64	-7.59	-19.43
52	60.67	18.36	-24.40	-3.37	-1.00	-4.99	-3.14	-8.76	-5.36	50.51	-3.08	-16.41	-18.29
53	58.79	18.50	-25.27	-2.79	-0.56	-6.92	-2.85	-6.26	-1.22	12.05	-48.08	-24.71	-16.62
54	57.31	18.49	-25.16	-1.58	-0.02	-8.88	-2.56	0.77	1.16	-13.03	-52.18	-25.11	-15.80
55	56.33	18.45	-24.87	-0.64	0.48	-10.85	-2.25	6.55	-0.16	-3.64	-32.03	-20.24	-16.34
56	55.60	18.53	-25.07	-0.14	0.81	-12.54	-1.89	11.80	-2.63	18.11	-13.25	-9.47	-18.40
57	54.85	18.71	-25.69	-0.04	0.84	-13.62	-1.48	17.70	-4.84	21.77	4.17	6.96	-19.16
58	53.91	19.01	-26.07	-0.26	0.49	-13.94	-1.09	22.47	-6.51	7.95	12.66	21.18	-16.07
59	52.79	19.35	-26.37	-0.57	-0.11	-13.40	-0.78	27.44	-6.43	21.74	14.41	27.61	-10.42
60	51.54	19.65	-27.36	-0.93	-0.79	-12.03	-0.58	32.68	-5.03	51.59	16.70	27.70	-5.21
61	50.23	19.89	-28.93	-1.33	-1.45	-9.92	-0.42	35.17	-4.69	62.87	16.38	24.14	-3.96
62	48.95	20.19	-30.52	-1.70	-1.98	-7.30	-0.23	31.43	-7.30	60.75	13.45	17.93	-7.08
63	47.87	20.66	-32.19	-1.95	-2.29	-4.57	0.06	22.69	-11.72	71.00	7.93	9.41	-11.72
64	47.13	21.36	-34.14	-2.08	-2.39	-2.26	0.41	8.56	-16.80	80.38	5.67	3.66	-13.23
65	46.78	22.30	-36.11	-2.23	-2.42	-0.97	0.73	-10.28	-21.63	72.51	8.46	4.80	-9.11
66	46.73	23.36	-37.62	-2.38	-2.53	-1.02	0.89	-25.80	-21.37	46.05	2.73	6.97	-1.64
67	46.84	24.21	-38.35	-2.30	-2.65	-2.38	0.91	-30.04	-13.84	13.19	-10.79	3.59	1.89
68	47.10	24.61	-38.31	-1.88	-2.61	-4.67	0.91	-22.91	-3.32	-15.78	-27.31	-5.97	-0.32
69	47.59	24.52	-37.57	-1.22	-2.36	-7.27	0.98	-9.12	6.53	-43.89	-28.36	-13.31	-3.59
70	48.22	24.03	-36.18	-0.73	-2.03	-9.81	1.14	5.37	12.59	-65.07	-17.44	-13.43	-7.14
71	48.75	23.36	-34.41	-0.43	-1.77	-11.93	1.34	12.96	12.92	-71.28	-11.20	-7.92	-7.37
72	49.03	22.81	-32.65	-0.23	-1.65	-13.22	1.52	13.52	7.81	-59.58	-7.70	-0.39	-5.50
73	49.11	22.63	-31.54	-0.12	-1.71	-13.49	1.68	11.11	-2.18	-19.93	-1.08	5.12	-4.70
74	49.01	23.12	-31.58	-0.17	-1.87	-12.81	1.84	6.17	-15.90	17.46	4.01	6.48	-5.35
75	48.57	24.47	-32.19	-0.27	-2.03	-11.18	2.03	-3.57	-31.23	23.65	3.99	5.03	-8.28
76	47.70	26.84	-32.69	-0.42	-2.14	-8.73	2.31	-21.51	-48.27	12.93	11.51	2.43	-13.87
77	46.69	30.52	-32.68	-0.86	-2.15	-5.85	2.69	-47.66	-66.08	-22.26	25.41	-3.09	-19.32
78	45.98	35.77	-31.09	-1.51	-2.02	-2.98	3.17	-79.41	-81.72	-111.80	27.19	-8.93	-21.61
79	45.78	42.71	-26.55	-1.97	-1.77	-0.59	3.66	-116.38	-94.15	-236.04	7.88	-12.72	-19.92
80	46.04	51.14	-19.01	-1.90	-1.42	1.06	4.09	-156.69	-100.09	-329.20	-11.62	-15.47	-16.36
81	46.69	60.69	-9.58	-1.63	-1.04	1.80	4.43	-197.19	-100.47	-393.76	-10.25	-14.20	-12.93
82	47.85	70.81	0.73	-1.39	-0.77	1.75	4.71	-234.04	-107.01	-419.45	-13.63	-7.72	-9.83
83	49.61	80.92	10.31	-1.01	-0.72	1.26	4.90	-268.26	-119.65	-378.98	-18.98	2.35	-5.39
84	51.88	90.59	18.21	-0.47	-0.91	0.49	5.03	-301.33	-131.02	-324.38	-28.36	10.40	-3.21
85	54.26	99.56	24.92	0.12	-1.19	-0.57	5.18	-332.45	-138.60	-290.72	-19.07	12.51	-6.21
86	56.36	107.58	30.93	0.23	-1.51	-1.79	5.42	-361.02	-137.90	-252.83	10.30	14.74	-9.82
87	58.05	114.43	36.01	-0.18	-1.80	-2.69	5.74	-386.19	-124.16	-195.88	16.59	10.50	-11.29
88	59.40	119.92	39.85	-0.23	-1.89	-2.81	6.09	-409.79	-96.83	-134.27	-11.96	-1.97	-12.00
89	60.54	123.81	42.42	0.21	-1.80	-2.21	6.48	-433.33	-58.87	-83.55	-26.60	-6.46	-14.46
90	61.37	125.79	43.78	0.89	-1.68	-1.35	6.95	-452.94	-15.15	-21.01	-29.49	-5.29	-19.08
91	61.63	125.45	42.89	1.34	-1.64	-0.58	7.52	-456.62	25.42	112.44	-10.36	1.37	-23.75
92	61.36	122.34	38.20	1.35	-1.73	-0.04	8.14	-432.33	52.89	294.40	5.68	7.88	-23.28
93	60.88	115.87	29.78	1.22	-1.90	0.27	8.69	-374.14	63.13	433.36	1.07	9.36	-18.54
94	60.43	105.36	19.53	1.39	-2.01	0.39	9.16	-287.02	64.48	458.61	-15.84	4.95	-16.36
95	60.26	90.26	10.46	1.85	-1.98	0.40	9.59	-187.48	62.30	338.68	-21.39	-1.46	-16.03
96	60.62	70.64	4.92	2.28	-1.88	0.39	9.98	-103.01	61.12	171.44	-15.70	-6.99	-13.69
97	60.83	48.28	2.24	2.50	-1.79	0.51	10.24	-73.87	81.99	100.61	-3.78	-7.76	-5.88
98	58.81	26.89	-0.39	2.48	-1.71	0.79	10.32	-109.96	115.60	156.00	3.67	-5.07	0.67
99	51.87	10.16	-4.56	2.46	-1.61	1.16	10.37	-180.99	116.56	206.33	-3.05	-5.09	-2.53
100	37.24	0.35	-8.55	2.68	-1.38	1.49	10.62	-244.56	64.51	127.70	-13.77	-11.08	-15.12
101	14.04	-2.64	-9.64	3.05	-0.95	1.79	11.16	-274.25	7.92	-32.83	-15.40	-20.57	-28.55
