	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d	Jumper 7.c3d
9	66.44	111.89	3.97	25.34	72.95	32.05	-2.12	146.82	-1.65	185.50	67.21	76.10	72.98
10	66.53	111.88	2.77	24.98	72.52	31.78	-2.49	142.46	-2.47	205.75	69.27	83.72	70.68
11	66.62	111.83	1.50	24.61	72.04	31.48	-2.84	138.68	-3.41	213.44	71.26	90.82	68.67
12	66.70	111.76	0.22	24.23	71.52	31.17	-3.18	135.25	-4.47	208.60	73.32	97.48	67.01
13	66.79	111.66	-0.98	23.84	70.95	30.83	-3.50	131.96	-5.65	192.15	75.48	103.74	65.76
14	66.88	111.52	-2.05	23.44	70.35	30.46	-3.83	128.55	-6.91	165.61	77.68	109.66	64.94
15	66.97	111.36	-2.94	23.02	69.70	30.06	-4.14	124.87	-8.21	130.91	79.91	115.27	64.53
16	67.08	111.16	-3.59	22.59	69.02	29.63	-4.45	120.80	-9.49	90.14	82.21	120.68	64.45
17	67.19	110.94	-3.99	22.15	68.31	29.15	-4.76	116.32	-10.67	45.25	84.74	126.05	64.57
18	67.31	110.70	-4.12	21.69	67.55	28.62	-5.07	111.44	-11.68	-2.21	87.67	131.57	64.74
19	67.44	110.43	-3.97	21.22	66.77	28.04	-5.37	106.24	-12.44	-51.35	91.13	137.46	64.81
20	67.57	110.14	-3.53	20.73	65.94	27.41	-5.67	100.85	-12.88	-101.83	95.15	143.96	64.70
21	67.71	109.83	-2.80	20.21	65.07	26.72	-5.97	95.39	-12.90	-153.69	99.72	151.24	64.32
22	67.85	109.51	-1.78	19.67	64.16	25.98	-6.26	90.01	-12.45	-207.02	104.72	159.43	63.65
23	68.00	109.17	-0.44	19.10	63.20	25.19	-6.55	84.83	-11.45	-261.59	110.02	168.58	62.68
24	68.15	108.81	1.20	18.50	62.19	24.34	-6.83	79.96	-9.87	-316.79	115.44	178.68	61.44
25	68.32	108.45	3.16	17.87	61.12	23.44	-7.11	75.47	-7.67	-371.46	120.73	189.64	59.97
26	68.49	108.08	5.43	17.21	59.99	22.48	-7.37	71.37	-4.89	-423.70	125.60	201.30	58.34
27	68.68	107.70	7.97	16.53	58.80	21.48	-7.63	67.65	-1.57	-470.35	129.77	213.45	56.63
28	68.89	107.33	10.75	15.83	57.55	20.42	-7.88	64.27	2.21	-507.22	133.03	225.95	54.87
29	69.11	106.95	13.69	15.11	56.22	19.31	-8.11	61.19	6.38	-530.20	135.28	238.64	53.09
30	69.36	106.58	16.70	14.39	54.83	18.14	-8.34	58.25	10.86	-536.62	136.52	251.47	51.36
31	69.63	106.21	19.67	13.66	53.38	16.91	-8.56	55.26	15.56	-525.99	136.82	264.37	49.77
32	69.91	105.84	22.51	12.93	51.86	15.61	-8.77	52.00	20.40	-499.36	136.34	277.33	48.43
33	70.20	105.48	25.14	12.20	50.27	14.24	-8.97	48.30	25.31	-458.66	135.24	290.35	47.39
34	70.50	105.11	27.49	11.49	48.61	12.80	-9.17	44.13	30.23	-406.61	133.70	303.42	46.61
35	70.81	104.73	29.52	10.78	46.89	11.28	-9.37	39.56	35.17	-346.78	131.88	316.53	45.98
36	71.10	104.34	31.21	10.07	45.09	9.67	-9.56	34.74	40.18	-283.29	129.95	329.66	45.42
37	71.39	103.93	32.55	9.38	43.24	7.96	-9.75	29.89	45.37	-220.02	128.07	342.80	44.80
38	71.65	103.49	33.55	8.70	41.31	6.16	-9.95	25.31	50.92	-160.10	126.35	355.85	44.04
39	71.90	103.02	34.26	8.02	39.32	4.26	-10.14	21.32	57.05	-105.60	124.80	368.67	43.04
40	72.13	102.50	34.68	7.36	37.27	2.25	-10.33	18.27	64.06	-57.47	123.35	381.03	41.75
41	72.34	101.93	34.87	6.70	35.16	0.14	-10.51	16.48	72.26	-15.62	121.89	392.65	40.17
42	72.53	101.28	34.85	6.04	33.00	-2.08	-10.69	16.26	81.99	20.87	120.31	403.17	38.32
43	72.70	100.54	34.65	5.40	30.79	-4.40	-10.86	17.90	93.55	53.54	118.55	412.20	36.23
44	72.87	99.69	34.28	4.76	28.55	-6.81	-11.03	21.65	107.14	84.33	116.62	419.30	33.94
45	73.03	98.72	33.74	4.14	26.29	-9.30	-11.19	27.71	122.70	114.84	114.53	424.07	31.49
46	73.20	97.59	33.05	3.53	24.01	-11.85	-11.33	36.22	139.95	145.45	112.20	426.07	28.92
47	73.38	96.30	32.19	2.94	21.75	-14.45	-11.47	47.22	158.42	175.02	109.42	424.86	26.26
48	73.58	94.83	31.18	2.36	19.52	-17.05	-11.59	60.61	177.58	201.49	105.96	420.03	23.59
49	73.83	93.17	30.04	1.81	17.33	-19.64	-11.70	76.17	197.02	222.47	101.64	411.26	20.98
50	74.12	91.32	28.81	1.28	15.21	-22.18	-11.80	93.56	216.47	235.90	96.47	398.31	18.55
51	74.46	89.25	27.51	0.79	13.19	-24.63	-11.88	112.35	235.87	240.19	90.64	381.17	16.42
52	74.87	86.97	26.22	0.33	11.27	-26.96	-11.95	132.07	255.34	234.53	84.36	359.95	14.69
53	75.36	84.47	24.98	-0.10	9.49	-29.12	-12.00	152.26	275.11	219.02	77.80	335.00	13.41
54	75.92	81.74	23.85	-0.50	7.86	-31.09	-12.05	172.45	295.43	194.68	71.05	306.85	12.56
55	76.56	78.77	22.87	-0.85	6.39	-32.84	-12.09	192.21	316.53	163.19	64.19	276.18	12.11
56	77.28	75.57	22.09	-1.17	5.08	-34.34	-12.13	211.13	338.44	126.61	57.26	243.84	11.98
57	78.08	72.15	21.51	-1.46	3.96	-35.59	-12.16	228.80	360.93	87.44	50.35	210.79	12.10
58	78.94	68.50	21.14	-1.70	3.00	-36.58	-12.20	244.85	383.46	48.65	43.55	177.99	12.39
59	79.86	64.66	20.98	-1.91	2.21	-37.32	-12.23	258.88	405.31	13.61	37.03	146.43	12.73
60	80.82	60.64	21.00	-2.09	1.57	-37.83	-12.26	270.55	425.65	-14.40	30.99	116.94	12.96
61	81.82	56.49	21.14	-2.24	1.08	-38.11	-12.29	279.48	443.55	-32.67	25.58	90.19	12.95
62	82.82	52.26	21.34	-2.36	0.71	-38.20	-12.31	285.35	458.03	-39.32	20.86	66.61	12.57
63	83.83	47.99	21.56	-2.46	0.45	-38.13	-12.33	287.87	468.11	-33.40	16.74	46.41	11.72
64	84.81	43.74	21.70	-2.54	0.28	-37.93	-12.35	286.85	472.91	-14.88	13.07	29.58	10.26
65	85.76	39.57	21.72	-2.60	0.18	-37.62	-12.35	282.19	471.75	15.46	9.68	15.99	8.13
66	86.65	35.54	21.55	-2.64	0.14	-37.22	-12.34	273.80	464.10	56.25	6.46	5.39	5.32
67	87.49	31.69	21.14	-2.67	0.15	-36.77	-12.30	261.71	449.55	105.46	3.30	-2.50	1.95
68	88.26	28.09	20.44	-2.68	0.19	-36.28	-12.25	246.18	427.91	159.90	0.09	-8.00	-1.71
69	88.97	24.75	19.44	-2.67	0.25	-35.78	-12.17	227.99	399.56	214.75	-3.28	-11.43	-5.41
70	89.62	21.73	18.14	-2.64	0.33	-35.27	-12.08	208.36	365.89	264.20	-6.83	-13.08	-8.99
71	90.20	19.02	16.59	-2.60	0.41	-34.77	-11.96	188.50	329.06	303.70	-10.45	-13.27	-12.42
72	90.70	16.63	14.84	-2.53	0.49	-34.29	-11.83	169.17	291.08	331.44	-14.04	-12.31	-15.89
73	91.13	14.55	12.96	-2.45	0.57	-33.84	-11.68	150.45	252.95	348.68	-17.45	-10.48	-19.77
74	91.47	12.78	10.98	-2.35	0.64	-33.43	-11.52	132.12	214.54	358.15	-20.65	-8.05	-24.48
75	91.76	11.31	8.95	-2.23	0.70	-33.06	-11.34	114.03	175.45	362.12	-23.62	-5.27	-30.14
76	91.98	10.16	6.89	-2.10	0.74	-32.74	-11.14	96.44	136.03	361.83	-26.33	-2.33	-36.28
77	92.16	9.32	4.81	-1.95	0.77	-32.46	-10.91	80.00	97.77	357.77	-28.72	0.59	-42.00
78	92.30	8.74	2.75	-1.80	0.79	-32.24	-10.67	65.83	63.21	350.09	-30.71	3.34	-46.34
79	92.40	8.40	0.71	-1.63	0.79	-32.06	-10.41	55.45	35.64	338.50	-32.25	5.77	-48.50
80	92.45	8.22	-1.28	-1.46	0.78	-31.93	-10.15	50.15	18.61	322.45	-33.28	7.77	-47.95
81	92.46	8.11	-3.17	-1.28	0.76	-31.84	-9.91	50.15	14.61	301.94	-33.78	9.29	-44.36
82	92.42	7.96	-4.94	-1.10	0.73	-31.79	-9.69	54.24	23.97	278.20	-33.73	10.31	-37.81
83	92.34	7.68	-6.58	-0.92	0.70	-31.77	-9.52	60.13	44.68	253.56	-33.19	10.85	-28.78
84	92.24	7.20	-8.07	-0.75	0.66	-31.78	-9.39	65.18	73.20	230.53	-32.23	10.98	-18.03
85	92.13	6.46	-9.43	-0.58	0.62	-31.80	-9.32	66.87	105.11	210.90	-30.97	10.82	-6.41
86	92.04	5.45	-10.68	-0.42	0.57	-31.83	-9.31	63.11	135.54	194.93	-29.41	10.50	5.17
87	91.98	4.21	-11.83	-0.27	0.52	-31.88	-9.36	52.74	159.65	181.07	-27.56	10.18	15.75
88	91.94	2.82	-12.91	-0.13	0.47	-31.92	-9.46	36.26	173.54	166.45	-25.40	9.97	24.42
89	91.90	1.39	-13.88	-0.00	0.42	-31.96	-9.60	15.96	175.43	148.33	-23.04	9.97	30.48
90	91.81	0.02	-14.73	0.11	0.36	-32.00	-9.76	-4.94	166.20	125.04	-20.69	10.19	33.37
91	91.67	-1.22	-15.41	0.21	0.29	-32.05	-9.94	-23.48	148.82	96.31	-18.55	10.63	32.62
92	91.44	-2.28	-15.90	0.31	0.22	-32.10	-10.10	-37.79	127.06	63.03	-16.73	11.26	27.79
93	91.15	-3.16	-16.18	0.39	0.14	-32.16	-10.24	-47.34	104.11	26.93	-15.25	12.00	18.72
94	90.79	-3.86	-16.23	0.47	0.05	-32.25	-10.33	-52.81	82.12	-9.80	-14.09	12.76	6.21
95	90.40	-4.40	-16.06	0.54	-0.05	-32.37	-10.36	-55.66	62.38	-44.62	-13.24	13.37	-7.76
96	89.97	-4.79	-15.69	0.61	-0.15	-32.52	-10.31	-57.56	45.48	-75.04	-12.75	13.61	-20.62
97	89.51	-5.06	-15.16	0.68	-0.25	-32.71	-10.22	-59.64	31.55	-99.01	-12.63	13.21	-30.41
98	89.03	-5.24	-14.50	0.75	-0.35	-32.94	-10.09	-62.22	20.47	-115.31	-12.89	11.84	-36.63
99	88.52	-5.35	-13.77	0.82	-0.44	-33.20	-9.94	-65.15	11.96	-123.34	-13.58	9.18	-39.78
100	87.98	-5.39	-13.02	0.89	-0.51	-33.49	-9.79	-68.09	5.65	-122.76	-14.75	4.90	-40.73
101	87.41	-5.40	-12.29	0.97	-0.56	-33.79	-9.65	-70.75	1.16	-113.35	-16.46	-1.30	-40.21
