	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d	Jumper 2.c3d
9	69.82	106.34	8.77	30.58	77.05	31.04	-4.19	220.45	2.53	-55.27	57.90	96.74	68.64
10	69.99	106.27	9.04	30.31	76.63	30.62	-4.49	213.95	3.09	-51.81	60.61	101.40	67.15
11	70.15	106.18	9.29	30.03	76.18	30.15	-4.79	207.48	3.70	-48.20	63.48	105.97	65.61
12	70.31	106.08	9.52	29.73	75.70	29.63	-5.08	201.06	4.36	-43.96	66.57	110.51	64.04
13	70.47	105.95	9.72	29.42	75.18	29.08	-5.37	194.72	5.06	-38.45	69.89	115.07	62.47
14	70.62	105.80	9.90	29.10	74.63	28.50	-5.65	188.46	5.79	-31.10	73.43	119.70	60.88
15	70.77	105.63	10.03	28.76	74.05	27.88	-5.92	182.30	6.55	-21.62	77.16	124.45	59.26
16	70.91	105.44	10.11	28.40	73.45	27.25	-6.18	176.27	7.34	-10.09	81.03	129.38	57.60
17	71.04	105.23	10.13	28.03	72.81	26.59	-6.44	170.38	8.15	2.96	85.03	134.51	55.87
18	71.17	104.99	10.08	27.64	72.14	25.93	-6.68	164.69	8.97	16.69	89.16	139.91	54.02
19	71.30	104.73	9.98	27.23	71.44	25.24	-6.92	159.24	9.81	30.10	93.43	145.62	52.03
20	71.41	104.46	9.81	26.80	70.71	24.55	-7.14	154.09	10.64	42.22	97.85	151.66	49.85
21	71.53	104.16	9.59	26.36	69.96	23.85	-7.35	149.26	11.44	52.19	102.40	158.10	47.49
22	71.64	103.85	9.34	25.89	69.17	23.14	-7.55	144.76	12.21	59.28	107.04	164.99	44.96
23	71.74	103.52	9.06	25.41	68.35	22.42	-7.74	140.58	12.92	62.90	111.73	172.42	42.31
24	71.85	103.19	8.77	24.91	67.49	21.69	-7.90	136.66	13.55	62.56	116.38	180.49	39.61
25	71.95	102.85	8.49	24.40	66.61	20.94	-8.06	132.94	14.10	57.94	120.96	189.26	36.93
26	72.05	102.50	8.25	23.86	65.68	20.18	-8.20	129.34	14.55	48.91	125.42	198.81	34.36
27	72.15	102.16	8.05	23.31	64.71	19.39	-8.32	125.72	14.90	35.59	129.75	209.16	31.99
28	72.26	101.81	7.92	22.75	63.70	18.59	-8.43	121.96	15.14	18.31	133.96	220.30	29.91
29	72.37	101.47	7.88	22.17	62.64	17.76	-8.53	117.86	15.27	-2.39	138.04	232.19	28.22
30	72.48	101.14	7.94	21.58	61.52	16.90	-8.62	113.30	15.29	-25.77	141.94	244.79	26.99
31	72.60	100.81	8.10	20.97	60.36	16.01	-8.71	108.13	15.21	-50.92	145.58	258.04	26.31
32	72.73	100.49	8.39	20.35	59.13	15.08	-8.79	102.27	15.01	-76.75	148.83	271.88	26.19
33	72.86	100.18	8.79	19.72	57.85	14.11	-8.87	95.68	14.72	-102.03	151.61	286.24	26.64
34	73.00	99.88	9.29	19.07	56.50	13.09	-8.96	88.36	14.31	-125.48	153.83	301.04	27.63
35	73.15	99.60	9.90	18.43	55.09	12.02	-9.05	80.36	13.80	-145.77	155.45	316.20	29.12
36	73.29	99.32	10.59	17.77	53.60	10.90	-9.14	71.79	13.21	-161.64	156.48	331.60	30.99
37	73.44	99.07	11.35	17.11	52.05	9.71	-9.25	62.84	12.53	-171.93	156.99	347.10	33.15
38	73.58	98.82	12.13	16.45	50.44	8.45	-9.36	53.74	11.83	-175.70	157.02	362.56	35.46
39	73.72	98.60	12.92	15.79	48.75	7.12	-9.49	44.77	11.14	-172.31	156.65	377.80	37.80
40	73.86	98.38	13.67	15.13	46.99	5.71	-9.63	36.23	10.54	-161.47	155.87	392.66	40.02
41	74.00	98.18	14.36	14.47	45.17	4.22	-9.77	28.40	10.15	-143.35	154.67	406.99	42.03
42	74.12	97.99	14.95	13.81	43.29	2.65	-9.93	21.50	10.08	-118.57	153.01	420.60	43.72
43	74.24	97.80	15.42	13.16	41.35	1.00	-10.09	15.74	10.48	-88.16	150.85	433.33	45.03
44	74.36	97.60	15.74	12.51	39.36	-0.74	-10.25	11.25	11.52	-53.56	148.23	445.00	45.92
45	74.47	97.39	15.90	11.87	37.32	-2.56	-10.42	8.12	13.37	-16.49	145.15	455.42	46.36
46	74.58	97.16	15.89	11.25	35.23	-4.47	-10.59	6.37	16.23	21.20	141.67	464.40	46.35
47	74.68	96.90	15.71	10.63	33.11	-6.46	-10.76	6.01	20.30	57.65	137.78	471.71	45.87
48	74.78	96.59	15.38	10.04	30.97	-8.52	-10.93	6.98	25.75	91.23	133.47	477.14	44.92
49	74.88	96.23	14.90	9.46	28.81	-10.65	-11.09	9.23	32.79	120.56	128.69	480.45	43.52
50	74.97	95.79	14.31	8.90	26.65	-12.84	-11.24	12.65	41.59	144.64	123.44	481.40	41.72
51	75.07	95.27	13.63	8.36	24.50	-15.06	-11.39	17.13	52.30	162.80	117.70	479.74	39.61
52	75.17	94.65	12.88	7.85	22.37	-17.31	-11.53	22.57	65.05	174.78	111.47	475.24	37.33
53	75.27	93.92	12.09	7.37	20.28	-19.57	-11.66	28.86	79.89	180.69	104.83	467.68	35.02
54	75.38	93.07	11.29	6.92	18.23	-21.81	-11.79	35.93	96.84	180.99	97.87	456.86	32.84
55	75.49	92.08	10.49	6.50	16.26	-24.01	-11.90	43.72	115.84	176.38	90.74	442.69	30.91
56	75.62	90.95	9.73	6.12	14.36	-26.16	-12.02	52.18	136.76	167.74	83.57	425.15	29.34
57	75.76	89.66	9.01	5.77	12.56	-28.22	-12.12	61.26	159.39	155.95	76.46	404.30	28.26
58	75.93	88.21	8.35	5.44	10.87	-30.17	-12.22	70.87	183.53	141.78	69.46	380.33	27.77
59	76.12	86.59	7.75	5.15	9.30	-32.00	-12.32	80.92	208.95	125.78	62.59	353.53	27.96
60	76.35	84.80	7.23	4.89	7.86	-33.68	-12.43	91.29	235.41	108.27	55.85	324.29	28.87
61	76.61	82.84	6.79	4.66	6.56	-35.21	-12.53	101.84	262.68	89.36	49.28	293.07	30.47
62	76.91	80.71	6.43	4.46	5.41	-36.56	-12.65	112.43	290.54	69.02	42.95	260.42	32.72
63	77.25	78.41	6.17	4.29	4.40	-37.74	-12.77	122.90	318.72	47.21	36.91	226.95	35.53
64	77.63	75.94	6.01	4.14	3.55	-38.73	-12.89	133.07	346.96	23.98	31.20	193.28	38.79
65	78.06	73.32	5.95	4.01	2.84	-39.55	-13.04	142.79	374.96	-0.36	25.83	160.06	42.40
66	78.53	70.54	6.01	3.91	2.27	-40.21	-13.19	151.93	402.39	-25.22	20.81	127.89	46.24
67	79.05	67.61	6.18	3.83	1.83	-40.70	-13.36	160.41	428.90	-49.64	16.13	97.33	50.19
68	79.61	64.56	6.45	3.76	1.52	-41.04	-13.54	168.17	454.05	-72.24	11.85	68.90	54.10
69	80.21	61.38	6.83	3.72	1.33	-41.25	-13.73	175.26	477.38	-91.41	8.01	43.04	57.78
70	80.84	58.10	7.27	3.69	1.23	-41.34	-13.94	181.75	498.35	-105.31	4.70	20.11	61.03
71	81.50	54.73	7.77	3.68	1.22	-41.33	-14.16	187.80	516.36	-112.09	1.98	0.38	63.63
72	82.17	51.28	8.28	3.67	1.29	-41.23	-14.39	193.63	530.80	-110.10	-0.17	-15.97	65.30
73	82.85	47.79	8.77	3.68	1.41	-41.07	-14.62	199.53	541.06	-98.04	-1.83	-28.88	65.74
74	83.52	44.27	9.17	3.69	1.58	-40.85	-14.86	205.77	546.54	-75.25	-3.10	-38.38	64.62
75	84.19	40.75	9.46	3.71	1.78	-40.59	-15.08	212.58	546.69	-41.76	-4.15	-44.61	61.67
76	84.84	37.25	9.57	3.73	2.00	-40.30	-15.29	219.99	541.08	1.54	-5.09	-47.76	56.80
77	85.46	33.79	9.46	3.76	2.22	-39.99	-15.47	227.71	529.52	53.00	-6.02	-48.12	50.28
78	86.05	30.41	9.11	3.80	2.44	-39.67	-15.63	235.25	512.17	110.27	-6.97	-46.03	42.76
79	86.60	27.11	8.48	3.84	2.65	-39.35	-15.76	241.88	489.66	170.34	-7.92	-41.85	35.20
80	87.10	23.92	7.58	3.88	2.83	-39.03	-15.86	246.88	463.18	229.65	-8.83	-35.99	28.61
81	87.54	20.84	6.42	3.93	2.98	-38.72	-15.93	249.55	434.27	284.55	-9.64	-28.88	23.87
82	87.93	17.87	5.00	3.98	3.11	-38.42	-15.99	249.18	404.76	331.73	-10.32	-20.92	21.45
83	88.27	15.01	3.39	4.04	3.19	-38.14	-16.05	245.03	376.10	368.81	-10.88	-12.50	21.27
84	88.54	12.25	1.62	4.10	3.25	-37.88	-16.12	236.42	349.08	394.33	-11.30	-3.99	22.62
85	88.77	9.60	-0.26	4.16	3.26	-37.64	-16.19	222.93	323.43	407.63	-11.59	4.31	24.06
86	88.96	7.07	-2.18	4.22	3.24	-37.41	-16.27	204.76	298.11	408.69	-11.74	12.17	23.89
87	89.13	4.69	-4.10	4.28	3.19	-37.20	-16.35	182.70	271.91	398.14	-11.78	19.36	20.61
88	89.28	2.51	-5.96	4.34	3.11	-37.02	-16.41	158.20	244.11	377.50	-11.74	25.75	13.66
89	89.42	0.57	-7.71	4.40	3.00	-36.85	-16.44	132.95	214.92	348.91	-11.67	31.21	3.47
90	89.56	-1.09	-9.32	4.47	2.87	-36.70	-16.42	108.62	185.22	314.70	-11.58	35.65	-8.89
91	89.70	-2.48	-10.76	4.53	2.72	-36.56	-16.34	86.52	156.22	276.85	-11.45	39.04	-22.17
92	89.82	-3.59	-12.03	4.58	2.55	-36.43	-16.21	67.46	128.95	237.11	-11.24	41.33	-35.34
93	89.93	-4.45	-13.10	4.64	2.38	-36.31	-16.03	51.80	104.14	196.97	-10.90	42.52	-47.64
94	90.02	-5.09	-13.98	4.70	2.20	-36.20	-15.81	39.54	82.18	157.62	-10.44	42.62	-58.81
95	90.10	-5.54	-14.68	4.75	2.03	-36.09	-15.54	30.57	63.22	119.75	-9.86	41.65	-69.09
96	90.17	-5.84	-15.19	4.80	1.85	-35.99	-15.23	24.73	47.24	83.63	-9.21	39.68	-79.03
97	90.23	-6.01	-15.52	4.84	1.69	-35.90	-14.89	21.63	34.06	49.56	-8.53	36.80	-88.94
98	90.28	-6.10	-15.69	4.88	1.53	-35.80	-14.50	20.65	23.43	18.26	-7.90	33.11	-98.47
99	90.34	-6.11	-15.70	4.92	1.40	-35.71	-14.08	20.99	15.05	-9.22	-7.39	28.74	-106.64
100	90.40	-6.07	-15.59	4.96	1.28	-35.63	-13.64	21.92	8.59	-32.14	-7.09	23.84	-112.37
101	90.48	-6.00	-15.37	5.00	1.18	-35.55	-13.17	22.91	3.77	-50.43	-7.03	18.55	-115.05
