	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d	Jumper 6.c3d
9	65.72	111.25	36.83	24.88	76.25	31.77	-4.20	162.87	3.40	-398.66	48.19	71.79	72.13
10	65.87	111.23	38.90	24.65	75.88	31.51	-4.53	158.94	4.53	-361.78	50.87	78.88	70.04
11	66.02	111.20	40.71	24.41	75.48	31.24	-4.85	154.96	5.95	-319.85	53.71	86.12	68.19
12	66.17	111.16	42.25	24.15	75.03	30.95	-5.16	150.92	7.73	-274.24	56.68	93.46	66.60
13	66.32	111.12	43.52	23.87	74.55	30.66	-5.46	146.81	9.92	-226.46	59.77	100.85	65.30
14	66.47	111.06	44.52	23.59	74.04	30.35	-5.76	142.64	12.58	-178.16	62.96	108.23	64.30
15	66.62	110.99	45.27	23.28	73.48	30.03	-6.05	138.42	15.73	-131.13	66.25	115.53	63.56
16	66.77	110.90	45.79	22.96	72.90	29.68	-6.33	134.19	19.34	-87.17	69.62	122.68	63.03
17	66.93	110.79	46.12	22.62	72.27	29.32	-6.61	129.98	23.35	-47.72	73.03	129.64	62.59
18	67.10	110.65	46.27	22.27	71.62	28.92	-6.88	125.83	27.64	-13.72	76.45	136.37	62.16
19	67.26	110.49	46.28	21.90	70.93	28.49	-7.15	121.74	32.04	14.50	79.84	142.88	61.65
20	67.44	110.31	46.17	21.51	70.21	28.03	-7.41	117.74	36.38	37.28	83.21	149.20	60.97
21	67.61	110.11	45.97	21.11	69.46	27.53	-7.67	113.81	40.46	55.50	86.51	155.36	60.07
22	67.80	109.89	45.69	20.69	68.68	27.00	-7.92	109.93	44.14	70.42	89.65	161.35	58.92
23	67.98	109.65	45.34	20.26	67.87	26.41	-8.16	106.07	47.29	83.43	92.53	167.21	57.52
24	68.18	109.39	44.93	19.81	67.03	25.79	-8.39	102.20	49.85	95.80	95.08	172.97	55.90
25	68.37	109.13	44.45	19.35	66.16	25.12	-8.62	98.28	51.80	108.48	97.28	178.68	54.09
26	68.56	108.86	43.91	18.89	65.27	24.41	-8.84	94.29	53.14	121.99	99.15	184.42	52.16
27	68.76	108.58	43.30	18.41	64.35	23.65	-9.05	90.23	53.91	136.32	100.79	190.25	50.19
28	68.96	108.29	42.61	17.93	63.40	22.85	-9.25	86.09	54.18	150.96	102.32	196.26	48.25
29	69.15	108.01	41.86	17.43	62.42	22.00	-9.44	81.85	54.04	165.10	103.91	202.51	46.43
30	69.34	107.72	41.04	16.93	61.41	21.11	-9.63	77.48	53.61	177.77	105.71	209.07	44.85
31	69.53	107.44	40.17	16.43	60.37	20.18	-9.81	72.94	52.98	188.05	107.80	215.97	43.62
32	69.71	107.15	39.25	15.90	59.29	19.21	-9.99	68.20	52.26	195.14	110.13	223.24	42.85
33	69.89	106.86	38.32	15.37	58.18	18.19	-10.16	63.26	51.53	198.45	112.57	230.92	42.58
34	70.06	106.57	37.37	14.83	57.03	17.13	-10.34	58.17	50.82	197.73	115.01	239.02	42.83
35	70.23	106.28	36.44	14.27	55.83	16.03	-10.51	52.95	50.15	193.09	117.32	247.58	43.59
36	70.39	105.98	35.55	13.70	54.59	14.87	-10.69	47.64	49.47	185.08	119.48	256.63	44.81
37	70.55	105.67	34.69	13.12	53.31	13.67	-10.87	42.23	48.73	174.68	121.48	266.24	46.45
38	70.70	105.36	33.90	12.53	51.98	12.41	-11.05	36.73	47.86	163.06	123.32	276.48	48.44
39	70.85	105.04	33.16	11.94	50.60	11.09	-11.25	31.15	46.80	151.55	125.02	287.45	50.67
40	70.99	104.72	32.47	11.33	49.16	9.72	-11.45	25.51	45.51	141.52	126.61	299.20	53.04
41	71.13	104.39	31.82	10.72	47.66	8.28	-11.66	19.89	44.00	134.20	128.08	311.76	55.42
42	71.26	104.06	31.20	10.10	46.10	6.78	-11.88	14.41	42.30	130.41	129.41	325.11	57.66
43	71.38	103.72	30.58	9.47	44.48	5.21	-12.11	9.22	40.52	130.38	130.53	339.19	59.57
44	71.50	103.37	29.95	8.84	42.79	3.56	-12.35	4.48	38.79	133.73	131.33	353.88	61.01
45	71.62	103.02	29.30	8.20	41.03	1.84	-12.59	0.35	37.28	139.71	131.68	368.96	61.83
46	71.72	102.66	28.61	7.57	39.20	0.03	-12.84	-3.07	36.19	147.37	131.57	384.18	61.97
47	71.82	102.28	27.88	6.93	37.30	-1.85	-13.09	-5.65	35.78	155.68	131.10	399.22	61.40
48	71.92	101.88	27.11	6.30	35.33	-3.82	-13.34	-7.26	36.31	163.59	130.43	413.70	60.09
49	72.01	101.46	26.30	5.68	33.30	-5.86	-13.58	-7.75	38.07	170.15	129.70	427.22	58.03
50	72.10	101.00	25.47	5.06	31.21	-7.98	-13.82	-6.95	41.34	174.61	128.87	439.28	55.26
51	72.18	100.49	24.62	4.44	29.08	-10.17	-14.05	-4.70	46.38	176.52	127.74	449.31	51.81
52	72.27	99.92	23.76	3.83	26.91	-12.41	-14.27	-0.84	53.39	175.75	126.04	456.73	47.77
53	72.35	99.27	22.92	3.23	24.72	-14.70	-14.48	4.74	62.52	172.56	123.49	460.99	43.26
54	72.45	98.53	22.11	2.65	22.53	-17.01	-14.66	12.10	73.87	167.65	119.92	461.60	38.43
55	72.56	97.69	21.32	2.09	20.35	-19.33	-14.84	21.27	87.48	161.99	115.24	458.16	33.45
56	72.68	96.74	20.56	1.55	18.20	-21.64	-14.99	32.20	103.37	156.54	109.48	450.38	28.48
57	72.84	95.64	19.82	1.04	16.10	-23.91	-15.12	44.80	121.52	151.96	102.78	438.13	23.66
58	73.01	94.40	19.11	0.57	14.08	-26.11	-15.24	58.92	141.87	148.50	95.37	421.40	19.10
59	73.23	93.00	18.41	0.13	12.16	-28.21	-15.33	74.32	164.29	146.04	87.55	400.38	14.87
60	73.48	91.43	17.72	-0.27	10.34	-30.19	-15.41	90.73	188.59	144.12	79.60	375.41	11.00
61	73.77	89.68	17.04	-0.63	8.66	-32.01	-15.47	107.82	214.53	142.08	71.73	347.00	7.52
62	74.12	87.75	16.37	-0.95	7.12	-33.66	-15.51	125.18	241.78	139.16	64.06	315.81	4.48
63	74.50	85.65	15.72	-1.24	5.73	-35.12	-15.53	142.41	269.94	134.59	56.66	282.57	1.95
64	74.94	83.35	15.09	-1.48	4.50	-36.37	-15.54	159.07	298.59	127.69	49.59	248.10	-0.00
65	75.43	80.89	14.51	-1.70	3.43	-37.41	-15.54	174.79	327.25	117.90	42.95	213.20	-1.26
66	75.96	78.25	13.97	-1.89	2.52	-38.25	-15.53	189.20	355.45	104.89	36.86	178.66	-1.74
67	76.54	75.45	13.51	-2.04	1.77	-38.89	-15.51	201.99	382.72	88.61	31.44	145.19	-1.33
68	77.17	72.50	13.13	-2.17	1.17	-39.34	-15.49	212.93	408.61	69.43	26.73	113.43	0.02
69	77.85	69.41	12.85	-2.29	0.72	-39.61	-15.46	221.89	432.69	48.25	22.72	83.93	2.34
70	78.56	66.19	12.67	-2.38	0.40	-39.73	-15.45	228.83	454.49	26.36	19.28	57.11	5.57
71	79.32	62.86	12.60	-2.46	0.20	-39.72	-15.44	233.79	473.60	5.43	16.26	33.33	9.57
72	80.11	59.42	12.63	-2.52	0.10	-39.59	-15.44	236.91	489.56	-12.70	13.53	12.81	14.17
73	80.93	55.91	12.74	-2.58	0.09	-39.36	-15.46	238.39	501.99	-26.27	11.00	-4.32	19.13
74	81.76	52.32	12.89	-2.62	0.16	-39.06	-15.50	238.50	510.52	-33.71	8.65	-18.01	24.17
75	82.60	48.68	13.07	-2.65	0.28	-38.71	-15.55	237.57	514.84	-33.91	6.45	-28.28	28.99
76	83.44	45.02	13.23	-2.67	0.45	-38.31	-15.62	235.99	514.66	-26.33	4.35	-35.26	33.26
77	84.27	41.33	13.34	-2.68	0.64	-37.89	-15.71	234.09	509.82	-11.01	2.30	-39.15	36.64
78	85.06	37.66	13.35	-2.68	0.85	-37.46	-15.82	232.21	500.28	11.50	0.24	-40.21	38.85
79	85.82	34.01	13.24	-2.68	1.06	-37.03	-15.93	230.56	486.18	40.20	-1.85	-38.76	39.70
80	86.52	30.42	12.97	-2.66	1.25	-36.61	-16.05	229.16	467.84	73.87	-4.00	-35.17	39.29
81	87.16	26.90	12.53	-2.63	1.42	-36.21	-16.16	227.83	445.74	111.21	-6.27	-29.86	37.96
82	87.75	23.46	11.90	-2.59	1.57	-35.82	-16.28	226.13	420.60	151.11	-8.79	-23.29	36.28
83	88.27	20.14	11.07	-2.54	1.68	-35.45	-16.39	223.52	393.26	192.92	-11.59	-15.89	34.69
84	88.74	16.95	10.02	-2.47	1.75	-35.09	-16.51	219.37	364.56	236.30	-14.55	-8.06	33.51
85	89.18	13.89	8.76	-2.39	1.79	-34.74	-16.62	212.94	335.22	280.83	-17.31	-0.12	32.83
86	89.59	11.00	7.27	-2.30	1.78	-34.41	-16.75	203.57	305.77	324.94	-19.49	7.67	32.51
87	89.99	8.29	5.56	-2.20	1.74	-34.10	-16.87	190.81	276.60	365.67	-20.83	15.02	32.12
88	90.39	5.78	3.65	-2.09	1.66	-33.82	-17.01	174.62	247.87	399.09	-21.28	21.67	31.00
89	90.81	3.50	1.59	-1.99	1.55	-33.56	-17.13	155.35	219.42	421.85	-20.93	27.43	28.44
90	91.22	1.47	-0.56	-1.89	1.41	-33.33	-17.25	133.85	190.93	432.30	-19.91	32.12	24.10
91	91.62	-0.29	-2.74	-1.80	1.25	-33.13	-17.35	111.39	162.35	430.34	-18.33	35.65	18.06
92	91.99	-1.76	-4.89	-1.71	1.08	-32.96	-17.42	89.51	134.24	416.81	-16.37	37.97	10.75
93	92.32	-2.97	-6.94	-1.64	0.90	-32.82	-17.46	69.67	107.51	392.74	-14.17	39.09	2.65
94	92.59	-3.93	-8.86	-1.57	0.71	-32.71	-17.46	53.03	83.03	359.13	-11.89	39.03	-5.92
95	92.83	-4.66	-10.58	-1.52	0.53	-32.62	-17.43	40.37	61.41	317.03	-9.70	37.87	-14.97
96	93.02	-5.20	-12.07	-1.48	0.35	-32.55	-17.35	32.05	42.98	267.81	-7.77	35.72	-24.71
97	93.18	-5.58	-13.30	-1.44	0.19	-32.50	-17.23	27.87	27.83	213.80	-6.29	32.68	-35.05
98	93.34	-5.83	-14.24	-1.42	0.04	-32.47	-17.06	27.09	15.85	158.24	-5.42	28.91	-45.33
99	93.50	-5.96	-14.90	-1.39	-0.08	-32.46	-16.84	28.52	6.69	104.95	-5.25	24.53	-54.23
100	93.67	-6.01	-15.29	-1.37	-0.18	-32.47	-16.58	30.95	-0.04	56.94	-5.79	19.75	-60.52
101	93.85	-6.01	-15.46	-1.33	-0.26	-32.49	-16.31	33.51	-4.78	15.88	-6.92	14.73	-63.59
